stress_axis,stress_level,method,task_success,task_success_ci95,tracking_error,tracking_error_ci95,safety_violation,safety_violation_ci95,asymmetry_error,asymmetry_error_ci95,actuator_energy,actuator_energy_ci95,robust_utility,robust_utility_ci95
gain_asymmetry,0.0,domain_randomized_policy,0.06417,0.00691,0.74618,0.01314,0.35345,0.01952,0.29749,0.00404,0.84460,0.01618,-0.61564,0.01888
gain_asymmetry,0.0,online_system_id,0.10417,0.02026,0.71887,0.00943,0.31690,0.01243,0.24785,0.00751,1.01970,0.01791,-0.52640,0.02463
gain_asymmetry,0.0,control_barrier_fault_tolerant_mpc,0.05500,0.01382,0.76966,0.01663,0.39845,0.02443,0.26440,0.00537,0.82194,0.01451,-0.63237,0.02938
gain_asymmetry,0.0,unscented_kalman_fault_observer,0.11500,0.01457,0.71393,0.01398,0.32050,0.01579,0.25993,0.00716,1.06934,0.01755,-0.51841,0.02604
gain_asymmetry,0.0,robust_l1_adaptive_control,0.09167,0.02123,0.74641,0.01078,0.36045,0.01936,0.26272,0.00989,0.92933,0.01012,-0.56772,0.02724
gain_asymmetry,0.0,latent_asymmetry_belief_policy_v5,0.11750,0.01877,0.71811,0.00933,0.32092,0.00865,0.25403,0.00808,1.10166,0.01125,-0.51822,0.02743
gain_asymmetry,0.0,oracle_asymmetry_state,0.16167,0.01338,0.69895,0.01164,0.31530,0.01163,0.24296,0.00843,1.17900,0.01399,-0.46327,0.02172
gain_asymmetry,0.2,domain_randomized_policy,0.05417,0.00951,0.74488,0.00728,0.35086,0.01800,0.36257,0.00968,0.83772,0.01472,-0.63457,0.01309
gain_asymmetry,0.2,online_system_id,0.09917,0.01677,0.71240,0.01136,0.31580,0.01640,0.27806,0.00578,1.01764,0.01667,-0.53245,0.02777
gain_asymmetry,0.2,control_barrier_fault_tolerant_mpc,0.08250,0.01549,0.77910,0.01043,0.41536,0.01754,0.28774,0.00665,0.82168,0.00982,-0.62206,0.02460
gain_asymmetry,0.2,unscented_kalman_fault_observer,0.09833,0.01351,0.70777,0.00955,0.30756,0.01240,0.27814,0.00976,1.07264,0.01685,-0.52845,0.02143
gain_asymmetry,0.2,robust_l1_adaptive_control,0.10167,0.02383,0.74351,0.00987,0.36054,0.01564,0.28184,0.00815,0.92651,0.00984,-0.55925,0.03517
gain_asymmetry,0.2,latent_asymmetry_belief_policy_v5,0.13000,0.02376,0.70968,0.00819,0.31821,0.01216,0.26879,0.00844,1.09466,0.01281,-0.50256,0.02985
gain_asymmetry,0.2,oracle_asymmetry_state,0.17167,0.02509,0.70159,0.01261,0.32679,0.02205,0.26025,0.00722,1.18062,0.01178,-0.46386,0.03535
gain_asymmetry,0.4,domain_randomized_policy,0.07417,0.01470,0.74825,0.01003,0.35798,0.01533,0.48384,0.01446,0.83979,0.01423,-0.64012,0.01898
gain_asymmetry,0.4,online_system_id,0.09750,0.01705,0.72140,0.00798,0.32229,0.01095,0.32125,0.00729,1.03443,0.01406,-0.55011,0.01942
gain_asymmetry,0.4,control_barrier_fault_tolerant_mpc,0.07417,0.01321,0.78433,0.00987,0.42071,0.01807,0.33254,0.00838,0.82295,0.00762,-0.64299,0.01522
gain_asymmetry,0.4,unscented_kalman_fault_observer,0.12417,0.01829,0.71530,0.01491,0.32205,0.02249,0.31626,0.00693,1.07414,0.01508,-0.51942,0.02281
gain_asymmetry,0.4,robust_l1_adaptive_control,0.09083,0.01746,0.75554,0.01117,0.37795,0.02035,0.31545,0.00907,0.94042,0.01065,-0.59118,0.02919
gain_asymmetry,0.4,latent_asymmetry_belief_policy_v5,0.12250,0.01670,0.71927,0.01706,0.33691,0.02774,0.29599,0.00767,1.09939,0.00998,-0.52914,0.02903
gain_asymmetry,0.4,oracle_asymmetry_state,0.17500,0.01917,0.70264,0.00991,0.32107,0.01573,0.28445,0.00819,1.17879,0.00764,-0.46153,0.03023
gain_asymmetry,0.6,domain_randomized_policy,0.06917,0.02298,0.74995,0.01310,0.36042,0.01733,0.63400,0.01780,0.82816,0.01639,-0.67094,0.02654
gain_asymmetry,0.6,online_system_id,0.10667,0.01394,0.72200,0.00607,0.33378,0.01504,0.36746,0.01339,1.03363,0.01293,-0.55500,0.01433
gain_asymmetry,0.6,control_barrier_fault_tolerant_mpc,0.07417,0.01429,0.77373,0.01161,0.40289,0.01717,0.37767,0.01448,0.81671,0.01075,-0.63555,0.02558
gain_asymmetry,0.6,unscented_kalman_fault_observer,0.09333,0.02148,0.72323,0.00594,0.33256,0.01332,0.35906,0.01556,1.08013,0.01311,-0.56796,0.02242
gain_asymmetry,0.6,robust_l1_adaptive_control,0.09500,0.01465,0.75555,0.01141,0.38387,0.01901,0.35081,0.01524,0.93433,0.00832,-0.59581,0.02866
gain_asymmetry,0.6,latent_asymmetry_belief_policy_v5,0.12083,0.01638,0.71976,0.01124,0.33425,0.01469,0.33451,0.01611,1.09069,0.01480,-0.53545,0.02168
gain_asymmetry,0.6,oracle_asymmetry_state,0.17417,0.01730,0.70418,0.01043,0.33083,0.01282,0.32156,0.01269,1.18084,0.00839,-0.47531,0.02494
gain_asymmetry,0.8,domain_randomized_policy,0.06167,0.01563,0.75535,0.01064,0.36655,0.01610,0.84474,0.02694,0.83669,0.01421,-0.71977,0.02767
gain_asymmetry,0.8,online_system_id,0.07500,0.01089,0.74343,0.00905,0.34923,0.02204,0.44692,0.01748,1.07881,0.02139,-0.62133,0.02181
gain_asymmetry,0.8,control_barrier_fault_tolerant_mpc,0.07250,0.01335,0.78648,0.00928,0.41720,0.01276,0.46106,0.02255,0.83207,0.01110,-0.66569,0.02386
gain_asymmetry,0.8,unscented_kalman_fault_observer,0.08250,0.01017,0.73991,0.01164,0.35167,0.01846,0.43183,0.02032,1.10193,0.01119,-0.61017,0.02277
gain_asymmetry,0.8,robust_l1_adaptive_control,0.06333,0.01121,0.77313,0.01224,0.40503,0.01954,0.41648,0.02123,0.94780,0.01298,-0.65915,0.01803
gain_asymmetry,0.8,latent_asymmetry_belief_policy_v5,0.12917,0.01760,0.73786,0.01278,0.35569,0.01830,0.38557,0.01703,1.09918,0.01275,-0.55545,0.02631
gain_asymmetry,0.8,oracle_asymmetry_state,0.14583,0.01486,0.72804,0.01385,0.36018,0.01744,0.38067,0.01447,1.18605,0.01219,-0.53974,0.02794
gain_asymmetry,1.0,domain_randomized_policy,0.06917,0.01378,0.76557,0.00967,0.38899,0.01637,1.02305,0.02039,0.85251,0.01760,-0.75966,0.02360
gain_asymmetry,1.0,online_system_id,0.07167,0.01338,0.75166,0.00830,0.36628,0.01969,0.51858,0.01524,1.10623,0.01423,-0.65176,0.01973
gain_asymmetry,1.0,control_barrier_fault_tolerant_mpc,0.06333,0.01067,0.80303,0.01148,0.43762,0.01883,0.54039,0.01608,0.84401,0.01312,-0.70688,0.02009
gain_asymmetry,1.0,unscented_kalman_fault_observer,0.07500,0.01789,0.75552,0.00932,0.37509,0.01675,0.48932,0.01498,1.11943,0.01393,-0.64767,0.02422
gain_asymmetry,1.0,robust_l1_adaptive_control,0.05667,0.01415,0.78949,0.00729,0.42146,0.01677,0.47517,0.01564,0.96606,0.01335,-0.69264,0.02155
gain_asymmetry,1.0,latent_asymmetry_belief_policy_v5,0.08750,0.01199,0.75773,0.01134,0.38072,0.01956,0.43918,0.01889,1.11369,0.00964,-0.63014,0.02272
gain_asymmetry,1.0,oracle_asymmetry_state,0.13500,0.01666,0.74064,0.00960,0.36521,0.01939,0.42910,0.01812,1.20208,0.00996,-0.56780,0.02546
deadzone_saturation,0.0,domain_randomized_policy,0.11667,0.01822,0.69554,0.01130,0.29726,0.01620,0.70166,0.01686,0.76236,0.01208,-0.55366,0.02600
deadzone_saturation,0.0,online_system_id,0.12667,0.01803,0.68835,0.01034,0.28973,0.00936,0.24633,0.00456,0.85636,0.01401,-0.45670,0.02331
deadzone_saturation,0.0,control_barrier_fault_tolerant_mpc,0.10250,0.01652,0.73939,0.01104,0.36521,0.01657,0.28854,0.00571,0.68020,0.00981,-0.53869,0.02626
deadzone_saturation,0.0,unscented_kalman_fault_observer,0.12667,0.01835,0.69802,0.01220,0.30455,0.01289,0.19479,0.00294,0.83795,0.01162,-0.45788,0.02168
deadzone_saturation,0.0,robust_l1_adaptive_control,0.10500,0.02221,0.71873,0.01499,0.33470,0.02094,0.20119,0.00305,0.73805,0.00716,-0.49884,0.03916
deadzone_saturation,0.0,latent_asymmetry_belief_policy_v5,0.13750,0.02168,0.71148,0.01190,0.32964,0.01632,0.17300,0.00264,0.81871,0.00963,-0.46161,0.02828
deadzone_saturation,0.0,oracle_asymmetry_state,0.16083,0.01312,0.70112,0.01036,0.32140,0.01299,0.13200,0.00275,0.84028,0.01198,-0.42219,0.01737
deadzone_saturation,0.2,domain_randomized_policy,0.09833,0.01574,0.71577,0.00911,0.31679,0.01106,0.70601,0.01445,0.80647,0.01351,-0.60097,0.02078
deadzone_saturation,0.2,online_system_id,0.10250,0.01400,0.70489,0.01189,0.30083,0.01298,0.31277,0.00881,0.94254,0.01545,-0.51455,0.01969
deadzone_saturation,0.2,control_barrier_fault_tolerant_mpc,0.09250,0.01470,0.76027,0.01119,0.38560,0.01697,0.34293,0.00872,0.74993,0.00823,-0.58668,0.02445
deadzone_saturation,0.2,unscented_kalman_fault_observer,0.10167,0.02396,0.70849,0.01413,0.31786,0.02094,0.28178,0.00834,0.95010,0.01094,-0.52002,0.03548
deadzone_saturation,0.2,robust_l1_adaptive_control,0.07833,0.00918,0.74298,0.01294,0.36113,0.01882,0.27840,0.00910,0.83756,0.01324,-0.57325,0.02445
deadzone_saturation,0.2,latent_asymmetry_belief_policy_v5,0.13167,0.01735,0.70858,0.00836,0.32399,0.01199,0.26284,0.00811,0.95345,0.00966,-0.49033,0.02467
deadzone_saturation,0.2,oracle_asymmetry_state,0.15667,0.01851,0.70905,0.01546,0.33000,0.02362,0.24913,0.00895,1.00716,0.00924,-0.46772,0.03430
deadzone_saturation,0.4,domain_randomized_policy,0.06167,0.01293,0.74284,0.01145,0.34539,0.00898,0.69460,0.01487,0.83049,0.01401,-0.67413,0.01546
deadzone_saturation,0.4,online_system_id,0.09250,0.01862,0.72370,0.00907,0.32628,0.01245,0.37198,0.01095,1.03445,0.01259,-0.56644,0.01503
deadzone_saturation,0.4,control_barrier_fault_tolerant_mpc,0.09417,0.01598,0.77311,0.01963,0.40027,0.02813,0.39039,0.01154,0.81346,0.01060,-0.61449,0.03162
deadzone_saturation,0.4,unscented_kalman_fault_observer,0.10000,0.02123,0.72383,0.00949,0.33896,0.01140,0.35490,0.01377,1.05770,0.01243,-0.56178,0.02813
deadzone_saturation,0.4,robust_l1_adaptive_control,0.08917,0.00945,0.75617,0.01403,0.38015,0.02020,0.35188,0.01078,0.91837,0.00959,-0.59848,0.02239
deadzone_saturation,0.4,latent_asymmetry_belief_policy_v5,0.13000,0.01600,0.72460,0.01104,0.34086,0.01696,0.32460,0.01300,1.06087,0.00865,-0.52814,0.02690
deadzone_saturation,0.4,oracle_asymmetry_state,0.16167,0.01951,0.71177,0.01213,0.34137,0.01487,0.31803,0.01041,1.13800,0.00990,-0.49169,0.02588
deadzone_saturation,0.6,domain_randomized_policy,0.04917,0.01154,0.76882,0.00884,0.38676,0.01671,0.69480,0.02782,0.84362,0.01207,-0.72958,0.02184
deadzone_saturation,0.6,online_system_id,0.08333,0.01265,0.73664,0.01209,0.34265,0.02198,0.41521,0.01793,1.09688,0.01352,-0.60315,0.02097
deadzone_saturation,0.6,control_barrier_fault_tolerant_mpc,0.05583,0.01090,0.79489,0.00975,0.42970,0.01473,0.41722,0.01846,0.85742,0.00875,-0.68861,0.01633
deadzone_saturation,0.6,unscented_kalman_fault_observer,0.09083,0.02224,0.73370,0.01646,0.35741,0.02061,0.40668,0.01961,1.13318,0.01506,-0.60044,0.03283
