stress_axis,stress_level,method,metric,mean,ci95,seeds,rows_per_seed
combined,0.0,control_barrier_fault_tolerant_mpc,task_success,0.13667,0.02181,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,tracking_error,0.68932,0.01320,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,safety_violation,0.27444,0.01598,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,asymmetry_error,0.03056,0.00106,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,actuator_energy,0.63604,0.00781,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,adaptation_regret,0.19301,0.00370,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,calibration_error,0.18035,0.01504,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,constraint_margin,0.16568,0.01320,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,recovery_time,0.93074,0.01430,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,control_smoothness,0.04402,0.00039,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,state_uncertainty,0.03169,0.00071,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,risk_score,0.25198,0.00969,10,120
combined,0.0,control_barrier_fault_tolerant_mpc,robust_utility,-0.38481,0.03328,10,120
combined,0.0,domain_randomized_policy,task_success,0.14833,0.02432,10,120
combined,0.0,domain_randomized_policy,tracking_error,0.64312,0.01216,10,120
combined,0.0,domain_randomized_policy,safety_violation,0.19946,0.01182,10,120
combined,0.0,domain_randomized_policy,asymmetry_error,0.07599,0.00097,10,120
combined,0.0,domain_randomized_policy,actuator_energy,0.72427,0.01165,10,120
combined,0.0,domain_randomized_policy,adaptation_regret,0.18007,0.00341,10,120
combined,0.0,domain_randomized_policy,calibration_error,0.20917,0.01335,10,120
combined,0.0,domain_randomized_policy,constraint_margin,0.21188,0.01216,10,120
combined,0.0,domain_randomized_policy,recovery_time,0.92238,0.01426,10,120
combined,0.0,domain_randomized_policy,control_smoothness,0.06188,0.00051,10,120
combined,0.0,domain_randomized_policy,state_uncertainty,0.07081,0.00089,10,120
combined,0.0,domain_randomized_policy,risk_score,0.21224,0.00712,10,120
combined,0.0,domain_randomized_policy,robust_utility,-0.32999,0.03400,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,task_success,0.17833,0.02025,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,tracking_error,0.65607,0.01139,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,safety_violation,0.22304,0.01402,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,asymmetry_error,0.02939,0.00141,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,actuator_energy,0.72564,0.00929,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,adaptation_regret,0.18370,0.00319,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,calibration_error,0.22664,0.01127,10,120
combined,0.0,latent_asymmetry_belief_policy_v5,constraint_margin,0.19894,0.01139,10,120
