split,reference,metric,mean_diff,ci95_diff,lower95_diff,upper95_diff,seeds
balanced_nominal,adaptive_mpc,task_success,0.02448,0.01937,0.00511,0.04385,10
balanced_nominal,adaptive_mpc,tracking_error,0.00450,0.00346,0.00104,0.00796,10
balanced_nominal,adaptive_mpc,safety_violation,0.01235,0.00417,0.00818,0.01652,10
balanced_nominal,adaptive_mpc,asymmetry_error,-0.00314,0.00075,-0.00389,-0.00240,10
balanced_nominal,adaptive_mpc,actuator_energy,0.00499,0.00311,0.00188,0.00810,10
balanced_nominal,adaptive_mpc,adaptation_regret,0.00126,0.00097,0.00029,0.00223,10
balanced_nominal,adaptive_mpc,constraint_margin,-0.00450,0.00346,-0.00796,-0.00104,10
balanced_nominal,adaptive_mpc,robust_utility,0.01661,0.01987,-0.00326,0.03648,10
balanced_nominal,control_barrier_fault_tolerant_mpc,task_success,0.03542,0.02467,0.01075,0.06008,10
balanced_nominal,control_barrier_fault_tolerant_mpc,tracking_error,-0.02826,0.00256,-0.03082,-0.02570,10
balanced_nominal,control_barrier_fault_tolerant_mpc,safety_violation,-0.04740,0.00648,-0.05388,-0.04091,10
balanced_nominal,control_barrier_fault_tolerant_mpc,asymmetry_error,-0.01029,0.00096,-0.01125,-0.00932,10
balanced_nominal,control_barrier_fault_tolerant_mpc,actuator_energy,0.09014,0.00381,0.08633,0.09395,10
balanced_nominal,control_barrier_fault_tolerant_mpc,adaptation_regret,-0.00791,0.00072,-0.00863,-0.00719,10
balanced_nominal,control_barrier_fault_tolerant_mpc,constraint_margin,0.02826,0.00256,0.02570,0.03082,10
balanced_nominal,control_barrier_fault_tolerant_mpc,robust_utility,0.06870,0.02569,0.04301,0.09439,10
balanced_nominal,domain_randomized_policy,task_success,0.01354,0.02469,-0.01115,0.03823,10
balanced_nominal,domain_randomized_policy,tracking_error,0.01284,0.00314,0.00970,0.01599,10
balanced_nominal,domain_randomized_policy,safety_violation,0.02645,0.00259,0.02386,0.02904,10
balanced_nominal,domain_randomized_policy,asymmetry_error,-0.08999,0.00138,-0.09137,-0.08861,10
balanced_nominal,domain_randomized_policy,actuator_energy,0.00230,0.00487,-0.00257,0.00718,10
balanced_nominal,domain_randomized_policy,adaptation_regret,0.00360,0.00088,0.00272,0.00447,10
balanced_nominal,domain_randomized_policy,constraint_margin,-0.01284,0.00314,-0.01599,-0.00970,10
balanced_nominal,domain_randomized_policy,robust_utility,0.01202,0.02490,-0.01288,0.03692,10
balanced_nominal,latent_asymmetry_policy_state_v4,task_success,0.00781,0.01469,-0.00688,0.02251,10
balanced_nominal,latent_asymmetry_policy_state_v4,tracking_error,0.01158,0.00252,0.00906,0.01409,10
balanced_nominal,latent_asymmetry_policy_state_v4,safety_violation,0.01663,0.00401,0.01262,0.02064,10
balanced_nominal,latent_asymmetry_policy_state_v4,asymmetry_error,0.00063,0.00033,0.00030,0.00096,10
balanced_nominal,latent_asymmetry_policy_state_v4,actuator_energy,-0.02540,0.00255,-0.02795,-0.02285,10
balanced_nominal,latent_asymmetry_policy_state_v4,adaptation_regret,0.00324,0.00070,0.00254,0.00395,10
balanced_nominal,latent_asymmetry_policy_state_v4,constraint_margin,-0.01158,0.00252,-0.01409,-0.00906,10
balanced_nominal,latent_asymmetry_policy_state_v4,robust_utility,-0.00443,0.01572,-0.02015,0.01129,10
balanced_nominal,nominal_policy,task_success,-0.01094,0.01784,-0.02878,0.00690,10
