split,method,metric,mean,ci95,seeds,rows_per_seed
hard_aggregate,adaptive_mpc,task_success,0.09601,0.00525,10,576
hard_aggregate,adaptive_mpc,tracking_error,0.71265,0.00332,10,576
hard_aggregate,adaptive_mpc,safety_violation,0.30956,0.00583,10,576
hard_aggregate,adaptive_mpc,asymmetry_error,0.25370,0.00354,10,576
hard_aggregate,adaptive_mpc,actuator_energy,0.91394,0.00502,10,576
hard_aggregate,adaptive_mpc,adaptation_regret,0.19954,0.00093,10,576
hard_aggregate,adaptive_mpc,calibration_error,0.14379,0.00440,10,576
hard_aggregate,adaptive_mpc,constraint_margin,0.14235,0.00332,10,576
hard_aggregate,adaptive_mpc,recovery_time,0.90587,0.00280,10,576
hard_aggregate,adaptive_mpc,control_smoothness,0.09670,0.00029,10,576
hard_aggregate,adaptive_mpc,state_uncertainty,0.14815,0.00124,10,576
hard_aggregate,adaptive_mpc,risk_score,0.31788,0.00355,10,576
hard_aggregate,adaptive_mpc,robust_utility,-0.52000,0.00763,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,task_success,0.08542,0.00721,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,tracking_error,0.75263,0.00706,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,safety_violation,0.37487,0.00944,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,asymmetry_error,0.28042,0.00310,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,actuator_energy,0.76744,0.00558,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,adaptation_regret,0.21074,0.00197,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,calibration_error,0.12725,0.00594,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,constraint_margin,0.10237,0.00706,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,recovery_time,0.91483,0.00608,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,control_smoothness,0.07280,0.00055,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,state_uncertainty,0.16375,0.00221,10,576
hard_aggregate,control_barrier_fault_tolerant_mpc,risk_score,0.36127,0.00556,10,576
