split,method,metric,mean,ci95,seeds,rows_per_seed
balanced_nominal,adaptive_mpc,task_success,0.13333,0.01477,10,192
balanced_nominal,adaptive_mpc,tracking_error,0.64953,0.00614,10,192
balanced_nominal,adaptive_mpc,safety_violation,0.20474,0.00863,10,192
balanced_nominal,adaptive_mpc,asymmetry_error,0.03334,0.00082,10,192
balanced_nominal,adaptive_mpc,actuator_energy,0.72802,0.00904,10,192
balanced_nominal,adaptive_mpc,adaptation_regret,0.18187,0.00172,10,192
balanced_nominal,adaptive_mpc,calibration_error,0.20464,0.00953,10,192
balanced_nominal,adaptive_mpc,constraint_margin,0.20547,0.00614,10,192
balanced_nominal,adaptive_mpc,recovery_time,0.92956,0.00626,10,192
balanced_nominal,adaptive_mpc,control_smoothness,0.05922,0.00047,10,192
balanced_nominal,adaptive_mpc,state_uncertainty,0.02961,0.00048,10,192
balanced_nominal,adaptive_mpc,risk_score,0.20737,0.00515,10,192
balanced_nominal,adaptive_mpc,robust_utility,-0.34097,0.02090,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,task_success,0.12240,0.01388,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,tracking_error,0.68229,0.00648,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,safety_violation,0.26449,0.01238,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,asymmetry_error,0.04049,0.00076,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,actuator_energy,0.64288,0.00806,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,adaptation_regret,0.19104,0.00181,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,calibration_error,0.18528,0.00727,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,constraint_margin,0.17271,0.00648,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,recovery_time,0.93348,0.00582,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,control_smoothness,0.04451,0.00017,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,state_uncertainty,0.03139,0.00062,10,192
balanced_nominal,control_barrier_fault_tolerant_mpc,risk_score,0.24437,0.00747,10,192
