split,method,seed,rows,task_success,tracking_error,safety_violation,asymmetry_error,actuator_energy,adaptation_regret,calibration_error,constraint_margin,recovery_time,control_smoothness,state_uncertainty,risk_score,robust_utility
balanced_nominal,adaptive_mpc,0,192,0.11979,0.65426,0.21484,0.03557,0.73189,0.18319,0.20109,0.20074,0.93415,0.05934,0.02980,0.21337,-0.36303
balanced_nominal,adaptive_mpc,1,192,0.14062,0.64633,0.21689,0.03284,0.73535,0.18097,0.20111,0.20867,0.90960,0.05963,0.03028,0.21488,-0.33893
balanced_nominal,adaptive_mpc,2,192,0.14062,0.64680,0.20424,0.03153,0.70671,0.18110,0.21719,0.20820,0.92634,0.05783,0.02909,0.20715,-0.33017
balanced_nominal,adaptive_mpc,3,192,0.17708,0.63727,0.18787,0.03351,0.70925,0.17843,0.23350,0.21773,0.91853,0.05869,0.03070,0.19784,-0.28097
balanced_nominal,adaptive_mpc,4,192,0.11458,0.65779,0.19736,0.03493,0.74495,0.18418,0.19582,0.19721,0.93434,0.05983,0.02881,0.20261,-0.36024
balanced_nominal,adaptive_mpc,5,192,0.16146,0.63405,0.18304,0.03277,0.72079,0.17753,0.21696,0.22095,0.92281,0.05952,0.02999,0.19448,-0.29364
balanced_nominal,adaptive_mpc,6,192,0.14062,0.64488,0.19754,0.03168,0.73179,0.18057,0.20597,0.21012,0.94215,0.05976,0.02827,0.20250,-0.32851
balanced_nominal,adaptive_mpc,7,192,0.10417,0.64915,0.20108,0.03451,0.71315,0.18176,0.20022,0.20585,0.93322,0.05806,0.03001,0.20513,-0.36712
balanced_nominal,adaptive_mpc,8,192,0.13021,0.65824,0.22098,0.03330,0.74175,0.18431,0.19859,0.19676,0.93936,0.05983,0.03017,0.21740,-0.35837
balanced_nominal,adaptive_mpc,9,192,0.10417,0.66649,0.22359,0.03281,0.74461,0.18662,0.17592,0.18851,0.93508,0.05971,0.02897,0.21833,-0.38869
balanced_nominal,control_barrier_fault_tolerant_mpc,0,192,0.09896,0.68082,0.26358,0.04320,0.64629,0.19063,0.18176,0.17418,0.93397,0.04459,0.03234,0.24409,-0.41625
balanced_nominal,control_barrier_fault_tolerant_mpc,1,192,0.14062,0.68320,0.28441,0.03940,0.64487,0.19129,0.18841,0.17180,0.91908,0.04457,0.03213,0.25679,-0.38589
balanced_nominal,control_barrier_fault_tolerant_mpc,2,192,0.13021,0.67620,0.25000,0.03867,0.62249,0.18934,0.19359,0.17880,0.93490,0.04433,0.03121,0.23584,-0.37280
balanced_nominal,control_barrier_fault_tolerant_mpc,3,192,0.13542,0.66740,0.24740,0.04091,0.62870,0.18687,0.18941,0.18760,0.92615,0.04485,0.03236,0.23430,-0.36334
balanced_nominal,control_barrier_fault_tolerant_mpc,4,192,0.10417,0.68254,0.24981,0.04113,0.66339,0.19111,0.17083,0.17246,0.94234,0.04450,0.03151,0.23499,-0.40515
balanced_nominal,control_barrier_fault_tolerant_mpc,5,192,0.14583,0.66641,0.23512,0.04004,0.63989,0.18659,0.20498,0.18859,0.92318,0.04492,0.03188,0.22693,-0.34598
balanced_nominal,control_barrier_fault_tolerant_mpc,6,192,0.11458,0.68779,0.26897,0.04015,0.65507,0.19258,0.18055,0.16721,0.94847,0.04443,0.02977,0.24631,-0.40714
balanced_nominal,control_barrier_fault_tolerant_mpc,7,192,0.15625,0.68457,0.26209,0.03977,0.62837,0.19168,0.19808,0.17043,0.92801,0.04392,0.03226,0.24287,-0.35710
balanced_nominal,control_barrier_fault_tolerant_mpc,8,192,0.08854,0.69832,0.29892,0.04106,0.65113,0.19553,0.17607,0.15668,0.94271,0.04459,0.03031,0.26524,-0.45387
balanced_nominal,control_barrier_fault_tolerant_mpc,9,192,0.10938,0.69561,0.28460,0.04054,0.64858,0.19477,0.16910,0.15939,0.93601,0.04441,0.03010,0.25636,-0.42305
balanced_nominal,domain_randomized_policy,0,192,0.14583,0.64407,0.18769,0.12086,0.73284,0.18034,0.19302,0.21093,0.92504,0.06261,0.07642,0.20446,-0.33447
balanced_nominal,domain_randomized_policy,1,192,0.15625,0.63788,0.20033,0.11891,0.73390,0.17861,0.21016,0.21712,0.91071,0.06247,0.07601,0.21238,-0.32804
balanced_nominal,domain_randomized_policy,2,192,0.17188,0.63459,0.18508,0.11725,0.71061,0.17768,0.22117,0.22041,0.91704,0.06123,0.07403,0.20266,-0.30048
balanced_nominal,domain_randomized_policy,3,192,0.14062,0.61771,0.16481,0.12143,0.69981,0.17296,0.23128,0.23729,0.90644,0.06177,0.07822,0.19138,-0.31340
balanced_nominal,domain_randomized_policy,4,192,0.09896,0.64238,0.18080,0.12093,0.74059,0.17987,0.19189,0.21262,0.93266,0.06291,0.07528,0.19996,-0.37774
balanced_nominal,domain_randomized_policy,5,192,0.17708,0.63352,0.17560,0.11763,0.72944,0.17738,0.23153,0.22148,0.92392,0.06163,0.07505,0.19726,-0.29144
balanced_nominal,domain_randomized_policy,6,192,0.15625,0.64360,0.19122,0.12019,0.74317,0.18021,0.20756,0.21140,0.94122,0.06277,0.07278,0.20588,-0.32733
balanced_nominal,domain_randomized_policy,7,192,0.15104,0.63831,0.19345,0.12089,0.71630,0.17873,0.20568,0.21669,0.92485,0.06087,0.07787,0.20809,-0.32932
balanced_nominal,domain_randomized_policy,8,192,0.11458,0.66120,0.21615,0.12229,0.75189,0.18514,0.18956,0.19380,0.93322,0.06224,0.07149,0.22096,-0.39024
balanced_nominal,domain_randomized_policy,9,192,0.13021,0.65860,0.21131,0.12153,0.74857,0.18441,0.19842,0.19640,0.94215,0.06286,0.07546,0.21834,-0.37134
balanced_nominal,latent_asymmetry_belief_policy_v5,0,192,0.17708,0.65206,0.21875,0.03341,0.73564,0.18258,0.23925,0.20294,0.92987,0.05549,0.02195,0.21483,-0.30628
balanced_nominal,latent_asymmetry_belief_policy_v5,1,192,0.15104,0.65422,0.22638,0.02983,0.74090,0.18318,0.20857,0.20078,0.91592,0.05585,0.02143,0.21944,-0.33649
balanced_nominal,latent_asymmetry_belief_policy_v5,2,192,0.13542,0.64897,0.21466,0.02739,0.71033,0.18171,0.21770,0.20603,0.92057,0.05473,0.02191,0.21263,-0.34091
balanced_nominal,latent_asymmetry_belief_policy_v5,3,192,0.16667,0.63658,0.18917,0.03218,0.71568,0.17824,0.25209,0.21842,0.91685,0.05558,0.02218,0.19714,-0.29141
balanced_nominal,latent_asymmetry_belief_policy_v5,4,192,0.18229,0.65297,0.21001,0.03028,0.74430,0.18283,0.23934,0.20203,0.92987,0.05609,0.02127,0.20903,-0.29646
balanced_nominal,latent_asymmetry_belief_policy_v5,5,192,0.15625,0.64306,0.20573,0.03084,0.72971,0.18006,0.23689,0.21194,0.91983,0.05597,0.02147,0.20725,-0.31479
balanced_nominal,latent_asymmetry_belief_policy_v5,6,192,0.15625,0.65673,0.21075,0.02845,0.74344,0.18389,0.22152,0.19827,0.93601,0.05584,0.02173,0.20988,-0.32434
balanced_nominal,latent_asymmetry_belief_policy_v5,7,192,0.11458,0.65564,0.21317,0.03211,0.72236,0.18358,0.20245,0.19936,0.93434,0.05461,0.02148,0.21124,-0.36579
balanced_nominal,latent_asymmetry_belief_policy_v5,8,192,0.16146,0.66404,0.24200,0.02834,0.73634,0.18593,0.23924,0.19096,0.92708,0.05661,0.02181,0.22912,-0.33877
balanced_nominal,latent_asymmetry_belief_policy_v5,9,192,0.17708,0.67601,0.24033,0.02918,0.75146,0.18928,0.21462,0.17899,0.93620,0.05586,0.02164,0.22752,-0.32836
balanced_nominal,latent_asymmetry_policy_state_v4,0,192,0.16146,0.64295,0.21019,0.03285,0.75838,0.18002,0.22628,0.21205,0.91592,0.06054,0.02281,0.20982,-0.31462
balanced_nominal,latent_asymmetry_policy_state_v4,1,192,0.11979,0.64379,0.21057,0.02895,0.76597,0.18026,0.20774,0.21121,0.90755,0.06089,0.02221,0.20999,-0.35624
balanced_nominal,latent_asymmetry_policy_state_v4,2,192,0.14062,0.64419,0.19736,0.02730,0.74019,0.18037,0.22278,0.21081,0.92597,0.05975,0.02249,0.20238,-0.32669
balanced_nominal,latent_asymmetry_policy_state_v4,3,192,0.19271,0.62656,0.17801,0.03072,0.73963,0.17544,0.23533,0.22844,0.90941,0.05949,0.02300,0.19039,-0.25659
balanced_nominal,latent_asymmetry_policy_state_v4,4,192,0.14583,0.64529,0.19457,0.03053,0.77330,0.18068,0.20665,0.20971,0.92932,0.06125,0.02253,0.19987,-0.32363
balanced_nominal,latent_asymmetry_policy_state_v4,5,192,0.16667,0.63000,0.18229,0.03021,0.75170,0.17640,0.23356,0.22500,0.91592,0.06068,0.02276,0.19315,-0.28761
balanced_nominal,latent_asymmetry_policy_state_v4,6,192,0.14583,0.64565,0.20201,0.02726,0.76897,0.18078,0.20781,0.20935,0.92429,0.06119,0.02229,0.20432,-0.32689
balanced_nominal,latent_asymmetry_policy_state_v4,7,192,0.13542,0.63856,0.18936,0.03105,0.73996,0.17880,0.20147,0.21644,0.92336,0.06019,0.02215,0.19689,-0.32563
balanced_nominal,latent_asymmetry_policy_state_v4,8,192,0.15625,0.64831,0.21466,0.02821,0.76774,0.18153,0.21060,0.20669,0.91908,0.06121,0.02286,0.21228,-0.32455
balanced_nominal,latent_asymmetry_policy_state_v4,9,192,0.13542,0.65921,0.22563,0.02860,0.77831,0.18458,0.18970,0.19579,0.92467,0.06103,0.02250,0.21833,-0.35688
