split,ablation,task_success,task_success_ci95,tracking_error,tracking_error_ci95,safety_violation,safety_violation_ci95,asymmetry_error,asymmetry_error_ci95,actuator_energy,actuator_energy_ci95,robust_utility,robust_utility_ci95
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,0.14940,0.02304,0.69072,0.01325,0.29167,0.02225,0.20512,0.00475,0.96048,0.01050,-0.43838,0.03593
payload_contact_shift,minus_persistent_latent_memory,0.11905,0.01380,0.69390,0.01356,0.29286,0.01783,0.18522,0.00508,0.89433,0.01436,-0.47603,0.02429
payload_contact_shift,minus_sign_specific_asymmetry,0.10298,0.02043,0.70533,0.01177,0.30529,0.01992,0.20432,0.00816,0.88526,0.01335,-0.49255,0.03332
payload_contact_shift,minus_deadzone_saturation_state,0.11488,0.01336,0.71174,0.01287,0.31086,0.02095,0.20363,0.00854,0.88296,0.01640,-0.48604,0.02934
payload_contact_shift,minus_latency_compensation,0.12500,0.01369,0.69339,0.01387,0.29545,0.01987,0.20482,0.00564,0.94375,0.01381,-0.46420,0.02519
payload_contact_shift,minus_thermal_drift_update,0.12024,0.01138,0.69210,0.01170,0.29347,0.01840,0.19784,0.00577,0.96199,0.01312,-0.46779,0.02094
payload_contact_shift,minus_online_residual_update,0.10536,0.02372,0.69750,0.01150,0.29947,0.01462,0.18785,0.00461,0.89027,0.01427,-0.49635,0.03220
payload_contact_shift,minus_safety_aware_action_clipping,0.15952,0.01997,0.65040,0.00812,0.25640,0.01820,0.19609,0.00556,1.08514,0.01569,-0.40084,0.02807
payload_contact_shift,scalar_only_latent_gain,0.09940,0.01030,0.71470,0.01554,0.31373,0.02007,0.21794,0.00994,0.85366,0.01505,-0.50438,0.02458
payload_contact_shift,no_belief_uncertainty,0.13393,0.01939,0.69121,0.01023,0.29517,0.01868,0.20395,0.00668,0.95911,0.01006,-0.45615,0.03189
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,0.11726,0.01243,0.72916,0.01115,0.34713,0.01888,0.34296,0.01249,1.09790,0.00830,-0.55210,0.02191
combined_hard_shift,minus_persistent_latent_memory,0.08571,0.01061,0.74480,0.00901,0.36915,0.01476,0.28869,0.00484,1.02155,0.01006,-0.60811,0.02056
combined_hard_shift,minus_sign_specific_asymmetry,0.08571,0.00801,0.75211,0.01033,0.37583,0.01851,0.36062,0.00980,0.99949,0.01279,-0.60478,0.01693
combined_hard_shift,minus_deadzone_saturation_state,0.08214,0.01215,0.75202,0.01023,0.37015,0.01450,0.35813,0.01172,0.98931,0.01202,-0.60386,0.02211
combined_hard_shift,minus_latency_compensation,0.09821,0.01233,0.73777,0.00655,0.35536,0.01130,0.35351,0.01395,1.08398,0.00794,-0.57980,0.01469
combined_hard_shift,minus_thermal_drift_update,0.10833,0.01421,0.72741,0.01038,0.35249,0.01482,0.33740,0.00984,1.10356,0.00892,-0.56261,0.02327
combined_hard_shift,minus_online_residual_update,0.08155,0.01290,0.73877,0.00626,0.35961,0.01223,0.29159,0.00421,1.01141,0.00811,-0.60628,0.01566
combined_hard_shift,minus_safety_aware_action_clipping,0.10536,0.01348,0.68073,0.00711,0.43308,0.01672,0.34081,0.01061,1.31597,0.00873,-0.61207,0.02309
combined_hard_shift,scalar_only_latent_gain,0.08036,0.01144,0.75543,0.00421,0.37653,0.00940,0.38864,0.00866,0.95253,0.01191,-0.61218,0.01570
combined_hard_shift,no_belief_uncertainty,0.10952,0.01436,0.72920,0.01006,0.35568,0.01623,0.34542,0.01131,1.09836,0.01124,-0.56545,0.01662
