split,task,seed,episode_id,method,task_success,tracking_error,final_error,safety_violation,actuator_energy,adaptation_regret,asymmetry_error,calibration_error,success_probability,true_gain_gap,deadzone_gap,latency
combined_hard_shift,corridor_tracking,0,0,full_latent_asymmetry_policy_state,1,0.42850,0.30040,0.00000,1.09103,0.09427,0.06905,0.59990,0.40010,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,0,minus_persistent_latent_memory,0,0.37708,0.09622,0.00000,0.77041,0.08296,0.11770,0.60186,0.60186,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,0,minus_sign_specific_asymmetry,0,0.29297,0.19402,0.00000,0.65519,0.06445,0.07947,0.52869,0.52869,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,0,minus_deadzone_saturation_state,0,0.50723,0.36559,0.00000,1.08071,0.11159,0.08372,0.21073,0.21073,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,0,minus_online_residual_update,1,0.30520,0.22318,0.00000,0.79529,0.06714,0.16321,0.51925,0.48075,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,0,scalar_only_latent_gain,0,0.48761,0.32783,0.00000,1.04031,0.10727,0.09668,0.26595,0.26595,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,0,no_safety_aware_action_clipping,0,0.51932,0.64041,0.00000,1.34484,0.11425,0.05763,0.02000,0.02000,0.55006,0.00880,1
combined_hard_shift,corridor_tracking,0,1,full_latent_asymmetry_policy_state,0,0.42355,0.31455,0.00000,0.98992,0.09318,0.15732,0.39155,0.39155,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,1,minus_persistent_latent_memory,0,0.71733,0.79291,0.00000,0.73511,0.15781,0.26967,0.02000,0.02000,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,1,minus_sign_specific_asymmetry,1,0.60067,0.18991,0.00000,0.66698,0.13215,0.08635,0.59639,0.40361,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,1,minus_deadzone_saturation_state,0,0.49920,0.48005,0.00000,0.63314,0.10982,0.20539,0.10589,0.10589,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,1,minus_online_residual_update,0,0.51233,0.18310,0.00000,0.67701,0.11271,0.28942,0.44814,0.44814,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,1,scalar_only_latent_gain,0,0.60249,0.55501,0.00000,0.53685,0.13255,0.31763,0.02000,0.02000,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,1,no_safety_aware_action_clipping,0,0.61465,0.51024,0.00000,1.03188,0.13522,0.22761,0.02000,0.02000,0.54236,0.10480,1
combined_hard_shift,corridor_tracking,0,2,full_latent_asymmetry_policy_state,0,0.70185,0.53012,0.00000,1.24420,0.15441,0.25592,0.02000,0.02000,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,2,minus_persistent_latent_memory,0,0.40333,0.51648,0.00000,0.84842,0.08873,0.09426,0.09025,0.09025,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,2,minus_sign_specific_asymmetry,1,0.36473,0.09655,0.00000,0.77678,0.08024,0.33143,0.39373,0.60627,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,2,minus_deadzone_saturation_state,0,0.63180,0.49792,0.00000,1.35433,0.13900,0.16085,0.02000,0.02000,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,2,minus_online_residual_update,0,0.67809,0.59301,0.00000,1.27424,0.14918,0.11846,0.02000,0.02000,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,2,scalar_only_latent_gain,0,0.58542,0.31343,0.00000,1.19697,0.12879,0.28681,0.23246,0.23246,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,2,no_safety_aware_action_clipping,1,0.44701,0.23448,0.06667,1.27467,0.09834,0.20802,0.70424,0.29576,0.58927,0.00797,1
combined_hard_shift,corridor_tracking,0,3,full_latent_asymmetry_policy_state,0,1.14598,0.93902,0.76667,1.10890,0.25212,0.34909,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,3,minus_persistent_latent_memory,0,1.03339,1.07432,0.46667,1.08159,0.22735,0.08156,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,3,minus_sign_specific_asymmetry,0,0.75771,0.46297,0.00000,1.00149,0.16670,0.32388,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,3,minus_deadzone_saturation_state,0,1.24457,1.20906,1.00000,0.92209,0.27381,0.12343,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,3,minus_online_residual_update,0,1.02530,0.93466,0.50000,1.11595,0.22557,0.09316,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,3,scalar_only_latent_gain,0,1.03376,0.47632,0.66667,0.92701,0.22743,0.07952,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,3,no_safety_aware_action_clipping,0,0.92569,0.51406,0.86667,1.41831,0.20365,0.49326,0.02000,0.02000,0.69550,0.02826,1
combined_hard_shift,corridor_tracking,0,4,full_latent_asymmetry_policy_state,1,0.21522,0.06411,0.00000,0.57482,0.04735,0.70614,0.20053,0.79947,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,4,minus_persistent_latent_memory,0,0.83435,0.82355,0.00000,1.29908,0.18356,0.33859,0.02000,0.02000,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,4,minus_sign_specific_asymmetry,0,0.44467,0.46755,0.00000,0.86422,0.09783,0.65272,0.12968,0.12968,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,4,minus_deadzone_saturation_state,1,0.54712,0.28202,0.00000,0.90613,0.12037,0.63014,0.69694,0.30306,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,4,minus_online_residual_update,0,0.54086,0.44523,0.00000,1.04469,0.11899,0.37146,0.10479,0.10479,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,4,scalar_only_latent_gain,1,0.38596,0.08893,0.00000,0.69292,0.08491,0.72349,0.38861,0.61139,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,4,no_safety_aware_action_clipping,0,0.56164,0.64170,0.13333,1.10799,0.12356,0.69710,0.02000,0.02000,0.56923,0.02698,1
combined_hard_shift,corridor_tracking,0,5,full_latent_asymmetry_policy_state,0,0.76904,0.88687,0.00000,1.23274,0.16919,0.46112,0.02000,0.02000,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,5,minus_persistent_latent_memory,1,0.37594,0.07671,0.00000,0.72207,0.08271,0.34665,0.37174,0.62826,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,5,minus_sign_specific_asymmetry,0,0.36313,0.05981,0.00000,0.89977,0.07989,0.61581,0.64292,0.64292,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,5,minus_deadzone_saturation_state,0,0.78829,0.59575,0.00000,1.43090,0.17342,0.34480,0.02000,0.02000,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,5,minus_online_residual_update,1,0.42127,0.34060,0.00000,1.03348,0.09268,0.33963,0.72084,0.27916,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,5,scalar_only_latent_gain,0,0.60054,0.43723,0.00000,1.18399,0.13212,0.59050,0.08080,0.08080,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,5,no_safety_aware_action_clipping,0,0.50110,0.31723,0.00000,1.22733,0.11024,0.54331,0.22157,0.22157,0.55091,0.01623,1
combined_hard_shift,corridor_tracking,0,6,full_latent_asymmetry_policy_state,0,0.77237,0.50406,0.00000,0.97894,0.16992,0.36722,0.02208,0.02208,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,6,minus_persistent_latent_memory,0,0.69284,0.42931,0.00000,0.68143,0.15242,0.34751,0.08153,0.08153,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,6,minus_sign_specific_asymmetry,0,0.70743,0.56817,0.00000,0.83695,0.15563,0.45038,0.02000,0.02000,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,6,minus_deadzone_saturation_state,0,0.83914,0.58398,0.00000,0.85893,0.18461,0.26885,0.02000,0.02000,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,6,minus_online_residual_update,0,0.70187,0.41113,0.00000,0.78396,0.15441,0.33616,0.09304,0.09304,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,6,scalar_only_latent_gain,0,0.77128,0.62288,0.00000,0.85192,0.16968,0.42991,0.02000,0.02000,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,6,no_safety_aware_action_clipping,0,0.70705,0.39872,0.00000,0.77330,0.15555,0.17979,0.06616,0.06616,0.65693,0.00916,1
combined_hard_shift,corridor_tracking,0,7,full_latent_asymmetry_policy_state,0,0.82671,0.96811,0.00000,1.43143,0.18188,0.31165,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,7,minus_persistent_latent_memory,0,0.64351,0.51177,0.00000,1.13960,0.14157,0.33915,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,7,minus_sign_specific_asymmetry,0,0.80383,0.66811,0.00000,1.35877,0.17684,0.31089,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,7,minus_deadzone_saturation_state,0,0.96259,0.79020,0.26667,1.35590,0.21177,0.32011,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,7,minus_online_residual_update,0,0.78640,0.77346,0.00000,1.34834,0.17301,0.32654,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,7,scalar_only_latent_gain,0,0.75912,0.56387,0.10000,1.24314,0.16701,0.42243,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,7,no_safety_aware_action_clipping,0,0.79839,0.57514,0.66667,1.75059,0.17564,0.30620,0.02000,0.02000,0.59122,0.01211,1
combined_hard_shift,corridor_tracking,0,8,full_latent_asymmetry_policy_state,0,0.53395,0.26901,0.00000,1.12356,0.11747,0.24488,0.39090,0.39090,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,8,minus_persistent_latent_memory,0,0.48443,0.43031,0.00000,1.03999,0.10658,0.31707,0.14637,0.14637,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,8,minus_sign_specific_asymmetry,0,0.57947,0.35748,0.00000,1.30002,0.12748,0.30620,0.17679,0.17679,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,8,minus_deadzone_saturation_state,0,0.44385,0.32980,0.00000,0.88997,0.09765,0.30971,0.29103,0.29103,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,8,minus_online_residual_update,0,0.54063,0.29056,0.00000,1.16355,0.11894,0.30328,0.28027,0.28027,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,8,scalar_only_latent_gain,1,0.63949,0.36951,0.00000,1.31287,0.14069,0.30719,0.86338,0.13662,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,8,no_safety_aware_action_clipping,0,0.62883,0.55871,0.26667,1.67462,0.13834,0.27345,0.02000,0.02000,0.50440,0.01217,1
combined_hard_shift,corridor_tracking,0,9,full_latent_asymmetry_policy_state,0,0.76430,0.45060,0.03333,1.24955,0.16815,0.36790,0.05065,0.05065,0.64223,0.00145,1
