split,method,seed,rows,task_success,tracking_error,safety_violation,asymmetry_error,actuator_energy,adaptation_regret,calibration_error,constraint_margin,recovery_time,control_smoothness,state_uncertainty,risk_score,robust_utility
hard_aggregate,adaptive_mpc,0,576,0.09028,0.71756,0.31578,0.26764,0.91788,0.20092,0.13479,0.13744,0.90817,0.09694,0.15172,0.32202,-0.53408
hard_aggregate,adaptive_mpc,1,576,0.10937,0.71202,0.30797,0.25268,0.91757,0.19936,0.15383,0.14298,0.90210,0.09713,0.14724,0.31697,-0.50531
hard_aggregate,adaptive_mpc,2,576,0.09896,0.70786,0.31082,0.25090,0.91068,0.19820,0.15127,0.14714,0.90098,0.09684,0.14712,0.31872,-0.51498
hard_aggregate,adaptive_mpc,3,576,0.09722,0.71716,0.31368,0.24930,0.91155,0.20080,0.13916,0.13784,0.90346,0.09706,0.15056,0.32038,-0.52195
hard_aggregate,adaptive_mpc,4,576,0.10764,0.71245,0.31982,0.25034,0.92500,0.19949,0.15392,0.14255,0.90185,0.09599,0.14910,0.32434,-0.51443
hard_aggregate,adaptive_mpc,5,576,0.09722,0.70491,0.28993,0.25690,0.90169,0.19737,0.14504,0.15009,0.90731,0.09732,0.14829,0.30613,-0.50424
hard_aggregate,adaptive_mpc,6,576,0.08681,0.71139,0.30258,0.25457,0.91575,0.19919,0.14125,0.14361,0.90185,0.09602,0.14831,0.31338,-0.52476
hard_aggregate,adaptive_mpc,7,576,0.08333,0.71509,0.31293,0.24710,0.91820,0.20022,0.13802,0.13991,0.91264,0.09633,0.14485,0.31880,-0.53494
hard_aggregate,adaptive_mpc,8,576,0.09028,0.72175,0.32056,0.25532,0.92124,0.20209,0.13673,0.13325,0.91307,0.09648,0.14627,0.32480,-0.53651
hard_aggregate,adaptive_mpc,9,576,0.09896,0.70634,0.30153,0.25229,0.89987,0.19777,0.14387,0.14866,0.90724,0.09687,0.14808,0.31322,-0.50884
hard_aggregate,control_barrier_fault_tolerant_mpc,0,576,0.07813,0.77246,0.40520,0.29060,0.77165,0.21629,0.12175,0.08254,0.92770,0.07112,0.16225,0.37938,-0.61184
hard_aggregate,control_barrier_fault_tolerant_mpc,1,576,0.07639,0.74669,0.36986,0.27773,0.77058,0.20907,0.12744,0.10831,0.91195,0.07334,0.16434,0.35837,-0.58088
hard_aggregate,control_barrier_fault_tolerant_mpc,2,576,0.09549,0.74088,0.36496,0.27642,0.76270,0.20745,0.14081,0.11412,0.90135,0.07385,0.16025,0.35471,-0.55505
hard_aggregate,control_barrier_fault_tolerant_mpc,3,576,0.10243,0.74738,0.37339,0.28167,0.76072,0.20927,0.14000,0.10762,0.90377,0.07326,0.16586,0.36073,-0.55661
hard_aggregate,control_barrier_fault_tolerant_mpc,4,576,0.08160,0.77166,0.38697,0.27328,0.78874,0.21606,0.11260,0.08334,0.93117,0.07171,0.15877,0.36844,-0.59604
hard_aggregate,control_barrier_fault_tolerant_mpc,5,576,0.09375,0.74432,0.36458,0.28411,0.76451,0.20841,0.13468,0.11068,0.91524,0.07354,0.16754,0.35520,-0.56060
hard_aggregate,control_barrier_fault_tolerant_mpc,6,576,0.10069,0.74728,0.36942,0.28203,0.76170,0.20924,0.13349,0.10772,0.90538,0.07293,0.16716,0.35840,-0.55635
hard_aggregate,control_barrier_fault_tolerant_mpc,7,576,0.08160,0.75729,0.38504,0.27613,0.77141,0.21204,0.12061,0.09771,0.91468,0.07197,0.15854,0.36655,-0.58781
hard_aggregate,control_barrier_fault_tolerant_mpc,8,576,0.07118,0.75496,0.37959,0.28337,0.75643,0.21139,0.11871,0.10004,0.91977,0.07327,0.16519,0.36421,-0.59502
hard_aggregate,control_barrier_fault_tolerant_mpc,9,576,0.07292,0.74337,0.34970,0.27888,0.76598,0.20815,0.12238,0.11163,0.91729,0.07304,0.16764,0.34675,-0.57187
hard_aggregate,domain_randomized_policy,0,576,0.09028,0.72294,0.31839,0.50966,0.80188,0.20243,0.13241,0.13206,0.90972,0.08917,0.36945,0.35867,-0.58448
hard_aggregate,domain_randomized_policy,1,576,0.07986,0.71376,0.30649,0.50056,0.79830,0.19985,0.13156,0.14124,0.90290,0.08924,0.37412,0.35252,-0.58291
hard_aggregate,domain_randomized_policy,2,576,0.07812,0.72034,0.31976,0.49974,0.80261,0.20170,0.13041,0.13466,0.91654,0.08932,0.36051,0.35790,-0.59466
hard_aggregate,domain_randomized_policy,3,576,0.06077,0.71761,0.30841,0.48908,0.79724,0.20093,0.11199,0.13739,0.91165,0.08902,0.37368,0.35284,-0.60307
hard_aggregate,domain_randomized_policy,4,576,0.07292,0.72836,0.33154,0.48508,0.81870,0.20394,0.12587,0.12664,0.91369,0.08950,0.36585,0.36672,-0.60878
