split,reference,metric,mean_diff,ci95_diff,lower95_diff,upper95_diff,seeds
hard_aggregate,adaptive_mpc,task_success,0.04965,0.01239,0.03727,0.06204,10
hard_aggregate,adaptive_mpc,tracking_error,-0.01247,0.00375,-0.01622,-0.00872,10
hard_aggregate,adaptive_mpc,safety_violation,-0.00490,0.00646,-0.01136,0.00156,10
hard_aggregate,adaptive_mpc,asymmetry_error,-0.00873,0.00223,-0.01096,-0.00651,10
hard_aggregate,adaptive_mpc,actuator_energy,0.07468,0.00302,0.07166,0.07769,10
hard_aggregate,adaptive_mpc,adaptation_regret,-0.00349,0.00105,-0.00454,-0.00244,10
hard_aggregate,adaptive_mpc,constraint_margin,0.01247,0.00375,0.00872,0.01622,10
hard_aggregate,adaptive_mpc,robust_utility,0.05759,0.01556,0.04202,0.07315,10
hard_aggregate,control_barrier_fault_tolerant_mpc,task_success,0.06024,0.01140,0.04884,0.07164,10
hard_aggregate,control_barrier_fault_tolerant_mpc,tracking_error,-0.05245,0.00422,-0.05667,-0.04823,10
hard_aggregate,control_barrier_fault_tolerant_mpc,safety_violation,-0.07021,0.00583,-0.07604,-0.06438,10
hard_aggregate,control_barrier_fault_tolerant_mpc,asymmetry_error,-0.03545,0.00231,-0.03777,-0.03314,10
hard_aggregate,control_barrier_fault_tolerant_mpc,actuator_energy,0.22118,0.00401,0.21717,0.22519,10
hard_aggregate,control_barrier_fault_tolerant_mpc,adaptation_regret,-0.01469,0.00118,-0.01587,-0.01351,10
hard_aggregate,control_barrier_fault_tolerant_mpc,constraint_margin,0.05245,0.00422,0.04823,0.05667,10
hard_aggregate,control_barrier_fault_tolerant_mpc,robust_utility,0.11479,0.01155,0.10324,0.12634,10
hard_aggregate,domain_randomized_policy,task_success,0.06736,0.01466,0.05270,0.08202,10
hard_aggregate,domain_randomized_policy,tracking_error,-0.01737,0.00442,-0.02179,-0.01295,10
hard_aggregate,domain_randomized_policy,safety_violation,-0.00748,0.00641,-0.01389,-0.00107,10
hard_aggregate,domain_randomized_policy,asymmetry_error,-0.25258,0.00410,-0.25669,-0.24848,10
hard_aggregate,domain_randomized_policy,actuator_energy,0.18904,0.00307,0.18597,0.19211,10
hard_aggregate,domain_randomized_policy,adaptation_regret,-0.00486,0.00124,-0.00610,-0.00363,10
hard_aggregate,domain_randomized_policy,constraint_margin,0.01737,0.00442,0.01295,0.02179,10
hard_aggregate,domain_randomized_policy,robust_utility,0.12644,0.01736,0.10908,0.14380,10
hard_aggregate,latent_asymmetry_policy_state_v4,task_success,0.02153,0.01651,0.00502,0.03804,10
hard_aggregate,latent_asymmetry_policy_state_v4,tracking_error,0.01332,0.00552,0.00780,0.01884,10
hard_aggregate,latent_asymmetry_policy_state_v4,safety_violation,0.02195,0.00813,0.01382,0.03008,10
hard_aggregate,latent_asymmetry_policy_state_v4,asymmetry_error,0.00216,0.00138,0.00077,0.00354,10
hard_aggregate,latent_asymmetry_policy_state_v4,actuator_energy,-0.03809,0.00423,-0.04232,-0.03387,10
