stress_axis,stress_level,method,seed,rows,task_success,tracking_error,safety_violation,asymmetry_error,actuator_energy,adaptation_regret,calibration_error,constraint_margin,recovery_time,control_smoothness,state_uncertainty,risk_score,robust_utility
combined,0.0,domain_randomized_policy,0,120,0.12500,0.66756,0.22589,0.07451,0.76420,0.18692,0.19675,0.18744,0.94405,0.06388,0.07074,0.22859,-0.38170
combined,0.0,domain_randomized_policy,1,120,0.10833,0.64251,0.19345,0.07664,0.73389,0.17990,0.19929,0.21249,0.91310,0.06201,0.06879,0.20817,-0.36643
combined,0.0,domain_randomized_policy,2,120,0.14167,0.65869,0.20387,0.07479,0.73037,0.18443,0.20443,0.19631,0.94315,0.06141,0.07278,0.21499,-0.34651
combined,0.0,domain_randomized_policy,3,120,0.15833,0.62634,0.17649,0.07654,0.69516,0.17537,0.23026,0.22866,0.90506,0.06098,0.06979,0.19840,-0.29726
combined,0.0,domain_randomized_policy,4,120,0.10833,0.64327,0.21012,0.07804,0.72497,0.18012,0.18398,0.21173,0.90149,0.06188,0.07099,0.21837,-0.37537
combined,0.0,domain_randomized_policy,5,120,0.20833,0.61451,0.17411,0.07674,0.71630,0.17206,0.24125,0.24049,0.89613,0.06207,0.07026,0.19714,-0.24284
combined,0.0,domain_randomized_policy,6,120,0.12500,0.64781,0.19821,0.07792,0.72035,0.18139,0.19973,0.20719,0.94107,0.06202,0.07357,0.21187,-0.35562
combined,0.0,domain_randomized_policy,7,120,0.18333,0.62316,0.18274,0.07313,0.70671,0.17449,0.22668,0.23184,0.91131,0.06098,0.06961,0.20239,-0.27548
combined,0.0,domain_randomized_policy,8,120,0.20833,0.63265,0.19940,0.07515,0.71492,0.17714,0.23073,0.22235,0.90595,0.06153,0.07057,0.21177,-0.26430
combined,0.0,domain_randomized_policy,9,120,0.11667,0.67466,0.23036,0.07642,0.73581,0.18890,0.17862,0.18034,0.96250,0.06207,0.07102,0.23072,-0.39434
combined,0.0,latent_asymmetry_belief_policy_v5,0,120,0.18333,0.68005,0.25833,0.02767,0.75035,0.19041,0.22007,0.17495,0.94107,0.05654,0.02143,0.24077,-0.33395
combined,0.0,latent_asymmetry_belief_policy_v5,1,120,0.20833,0.65177,0.22054,0.02684,0.73048,0.18250,0.22484,0.20323,0.90982,0.05605,0.02193,0.21700,-0.27329
combined,0.0,latent_asymmetry_belief_policy_v5,2,120,0.12500,0.66995,0.23304,0.03455,0.73415,0.18758,0.19703,0.18505,0.93393,0.05513,0.02227,0.22492,-0.37342
combined,0.0,latent_asymmetry_belief_policy_v5,3,120,0.20000,0.63402,0.18929,0.03016,0.69964,0.17753,0.25507,0.22098,0.89702,0.05473,0.02174,0.19864,-0.25439
combined,0.0,latent_asymmetry_belief_policy_v5,4,120,0.19167,0.65020,0.22173,0.03101,0.71627,0.18206,0.23035,0.20480,0.91667,0.05578,0.02159,0.21819,-0.29000
combined,0.0,latent_asymmetry_belief_policy_v5,5,120,0.20000,0.63755,0.20298,0.03059,0.72932,0.17851,0.23666,0.21745,0.89018,0.05485,0.02135,0.20704,-0.26560
combined,0.0,latent_asymmetry_belief_policy_v5,6,120,0.15000,0.66155,0.20387,0.02831,0.72855,0.18523,0.23451,0.19345,0.94554,0.05499,0.02155,0.20742,-0.32767
combined,0.0,latent_asymmetry_belief_policy_v5,7,120,0.20833,0.64115,0.22083,0.02777,0.70712,0.17952,0.24302,0.21385,0.90060,0.05492,0.02191,0.21791,-0.26737
combined,0.0,latent_asymmetry_belief_policy_v5,8,120,0.19167,0.64612,0.22024,0.02798,0.72176,0.18091,0.22648,0.20888,0.91607,0.05490,0.02153,0.21658,-0.28758
combined,0.0,latent_asymmetry_belief_policy_v5,9,120,0.12500,0.68829,0.25952,0.02900,0.73871,0.19272,0.19834,0.16671,0.95179,0.05521,0.02095,0.24061,-0.39583
combined,0.0,online_system_id,0,120,0.11667,0.66192,0.22708,0.02960,0.78602,0.18534,0.18994,0.19308,0.94107,0.06588,0.02694,0.22214,-0.37957
combined,0.0,online_system_id,1,120,0.17500,0.64160,0.21042,0.02932,0.76494,0.17965,0.24682,0.21340,0.91250,0.06501,0.02709,0.21181,-0.30082
combined,0.0,online_system_id,2,120,0.14167,0.65319,0.20357,0.03405,0.75422,0.18289,0.19955,0.20181,0.93839,0.06363,0.02753,0.20745,-0.33584
combined,0.0,online_system_id,3,120,0.15000,0.63028,0.17083,0.03037,0.73114,0.17648,0.23194,0.22472,0.90744,0.06250,0.02775,0.18856,-0.29600
combined,0.0,online_system_id,4,120,0.17500,0.63700,0.19643,0.02946,0.74105,0.17836,0.23301,0.21800,0.91131,0.06337,0.02813,0.20386,-0.28917
combined,0.0,online_system_id,5,120,0.16667,0.61185,0.16220,0.03215,0.74186,0.17132,0.26264,0.24315,0.89762,0.06425,0.02800,0.18332,-0.26827
combined,0.0,online_system_id,6,120,0.15000,0.65029,0.18601,0.03134,0.74852,0.18208,0.21665,0.20471,0.94107,0.06375,0.02748,0.19739,-0.31555
combined,0.0,online_system_id,7,120,0.14167,0.62799,0.18185,0.03047,0.73626,0.17584,0.22660,0.22701,0.90417,0.06294,0.02769,0.19538,-0.31012
combined,0.0,online_system_id,8,120,0.20000,0.63180,0.18661,0.03007,0.74690,0.17690,0.22040,0.22320,0.90595,0.06328,0.02731,0.19743,-0.25679
combined,0.0,online_system_id,9,120,0.17500,0.65899,0.21399,0.03036,0.75124,0.18452,0.21660,0.19601,0.94405,0.06422,0.02823,0.21410,-0.31021
combined,0.0,oracle_asymmetry_state,0,120,0.20833,0.68003,0.28274,0.03321,0.73860,0.25841,0.23792,0.17497,0.90595,0.05345,0.02036,0.25574,-0.32085
combined,0.0,oracle_asymmetry_state,1,120,0.20000,0.66069,0.24821,0.02914,0.73670,0.25106,0.24138,0.19431,0.90863,0.05323,0.02047,0.23386,-0.30157
combined,0.0,oracle_asymmetry_state,2,120,0.21667,0.67546,0.25804,0.03866,0.73295,0.25667,0.23291,0.17954,0.92530,0.05227,0.02074,0.23954,-0.29816
combined,0.0,oracle_asymmetry_state,3,120,0.20000,0.65571,0.23512,0.03503,0.71048,0.24917,0.24149,0.19929,0.89435,0.05223,0.02054,0.22665,-0.29017
combined,0.0,oracle_asymmetry_state,4,120,0.25000,0.66504,0.25595,0.03301,0.72634,0.25271,0.26473,0.18996,0.90089,0.05280,0.02017,0.23931,-0.25692
combined,0.0,oracle_asymmetry_state,5,120,0.25833,0.62366,0.19851,0.03752,0.72368,0.23699,0.26326,0.23134,0.87321,0.05370,0.02049,0.20405,-0.19925
combined,0.0,oracle_asymmetry_state,6,120,0.20000,0.66937,0.23958,0.03323,0.73447,0.25436,0.22662,0.18563,0.92649,0.05195,0.02007,0.22854,-0.30120
combined,0.0,oracle_asymmetry_state,7,120,0.25000,0.64112,0.23214,0.03201,0.71218,0.24363,0.25694,0.21388,0.88274,0.05296,0.02046,0.22501,-0.23214
combined,0.0,oracle_asymmetry_state,8,120,0.18333,0.64181,0.22887,0.03456,0.71568,0.24389,0.27128,0.21319,0.88125,0.05293,0.02038,0.22243,-0.29775
combined,0.0,oracle_asymmetry_state,9,120,0.15833,0.69086,0.27708,0.03549,0.73139,0.26253,0.22393,0.16414,0.94851,0.05147,0.02013,0.25123,-0.37379
combined,0.0,robust_l1_adaptive_control,0,120,0.09167,0.69496,0.28036,0.02810,0.68704,0.19459,0.17300,0.16004,0.93929,0.05029,0.02281,0.25435,-0.43877
combined,0.0,robust_l1_adaptive_control,1,120,0.11667,0.67448,0.24673,0.02694,0.68050,0.18885,0.18420,0.18052,0.92738,0.04961,0.02293,0.23369,-0.38547
combined,0.0,robust_l1_adaptive_control,2,120,0.08333,0.68753,0.25298,0.03547,0.66912,0.19251,0.15644,0.16747,0.95446,0.04888,0.02391,0.23653,-0.42929
combined,0.0,robust_l1_adaptive_control,3,120,0.20833,0.65466,0.22738,0.02994,0.63615,0.18331,0.22143,0.20034,0.91875,0.04826,0.02310,0.22168,-0.27188
combined,0.0,robust_l1_adaptive_control,4,120,0.12500,0.67305,0.24077,0.03010,0.66087,0.18845,0.18779,0.18195,0.93214,0.04866,0.02389,0.22995,-0.37247
combined,0.0,robust_l1_adaptive_control,5,120,0.14167,0.64489,0.22292,0.02939,0.65900,0.18057,0.20477,0.21011,0.90000,0.04913,0.02414,0.21953,-0.33314
combined,0.0,robust_l1_adaptive_control,6,120,0.05833,0.68711,0.24494,0.02746,0.66902,0.19239,0.15439,0.16789,0.95268,0.04848,0.02346,0.23224,-0.44804
combined,0.0,robust_l1_adaptive_control,7,120,0.15000,0.65531,0.22500,0.02930,0.64839,0.18349,0.21739,0.19969,0.91310,0.04848,0.02366,0.22116,-0.32965
combined,0.0,robust_l1_adaptive_control,8,120,0.18333,0.66602,0.23720,0.02683,0.66287,0.18648,0.20268,0.18898,0.91696,0.04912,0.02355,0.22755,-0.30823
combined,0.0,robust_l1_adaptive_control,9,120,0.10833,0.70519,0.28065,0.02848,0.66124,0.19745,0.17086,0.14981,0.96190,0.04856,0.02472,0.25436,-0.42546
combined,0.0,unscented_kalman_fault_observer,0,120,0.13333,0.67456,0.24196,0.02940,0.77220,0.18888,0.18985,0.18044,0.94167,0.06096,0.02183,0.23085,-0.37457
combined,0.0,unscented_kalman_fault_observer,1,120,0.16667,0.64414,0.22202,0.02855,0.75248,0.18036,0.21648,0.21086,0.90565,0.06043,0.02226,0.21805,-0.31489
combined,0.0,unscented_kalman_fault_observer,2,120,0.11667,0.66557,0.22440,0.03403,0.75594,0.18636,0.18501,0.18943,0.94762,0.05902,0.02213,0.21928,-0.37764
combined,0.0,unscented_kalman_fault_observer,3,120,0.18333,0.63340,0.18661,0.02987,0.71330,0.17735,0.22037,0.22160,0.90417,0.05891,0.02183,0.19678,-0.27076
combined,0.0,unscented_kalman_fault_observer,4,120,0.08333,0.64922,0.22143,0.03030,0.73649,0.18178,0.19844,0.20578,0.92232,0.05935,0.02252,0.21816,-0.39972
combined,0.0,unscented_kalman_fault_observer,5,120,0.12500,0.62463,0.17857,0.03210,0.73787,0.17490,0.21759,0.23037,0.89911,0.05952,0.02250,0.19230,-0.32335
combined,0.0,unscented_kalman_fault_observer,6,120,0.17500,0.64919,0.18542,0.03166,0.73513,0.18177,0.23282,0.20581,0.93750,0.05991,0.02177,0.19586,-0.28812
combined,0.0,unscented_kalman_fault_observer,7,120,0.14167,0.62333,0.19315,0.03143,0.71125,0.17453,0.22826,0.23167,0.89167,0.05951,0.02238,0.20093,-0.31198
combined,0.0,unscented_kalman_fault_observer,8,120,0.11667,0.63270,0.20089,0.03268,0.72479,0.17716,0.20429,0.22230,0.90268,0.05951,0.02215,0.20532,-0.34677
combined,0.0,unscented_kalman_fault_observer,9,120,0.12500,0.67257,0.23512,0.03096,0.74117,0.18832,0.18603,0.18243,0.95744,0.05908,0.02176,0.22583,-0.37693
combined,0.2,control_barrier_fault_tolerant_mpc,0,120,0.10833,0.73352,0.36071,0.13657,0.72725,0.20538,0.14119,0.12148,0.92649,0.05687,0.11524,0.32571,-0.50979
combined,0.2,control_barrier_fault_tolerant_mpc,1,120,0.10833,0.71946,0.30446,0.14537,0.68417,0.20145,0.14721,0.13554,0.94524,0.05932,0.11137,0.29202,-0.47088
combined,0.2,control_barrier_fault_tolerant_mpc,2,120,0.15833,0.69133,0.28631,0.13781,0.69566,0.19357,0.18630,0.16367,0.90506,0.05843,0.11541,0.28200,-0.39784
combined,0.2,control_barrier_fault_tolerant_mpc,3,120,0.10000,0.69323,0.29315,0.15127,0.67511,0.19410,0.16358,0.16177,0.90089,0.05903,0.12132,0.28683,-0.46156
combined,0.2,control_barrier_fault_tolerant_mpc,4,120,0.13333,0.68228,0.26637,0.14786,0.70599,0.19104,0.16787,0.17272,0.91577,0.06097,0.11456,0.27023,-0.41103
combined,0.2,control_barrier_fault_tolerant_mpc,5,120,0.10833,0.71095,0.29464,0.15320,0.72116,0.19907,0.16631,0.14405,0.93036,0.05875,0.11304,0.28595,-0.46557
combined,0.2,control_barrier_fault_tolerant_mpc,6,120,0.08333,0.75394,0.37054,0.14500,0.72359,0.21110,0.12399,0.10106,0.95179,0.05702,0.10793,0.33256,-0.54983
combined,0.2,control_barrier_fault_tolerant_mpc,7,120,0.13333,0.70905,0.30565,0.14236,0.71537,0.19853,0.17192,0.14595,0.93690,0.05885,0.11178,0.29257,-0.44437
combined,0.2,control_barrier_fault_tolerant_mpc,8,120,0.06667,0.71679,0.30476,0.13970,0.72951,0.20070,0.14214,0.13821,0.93452,0.05882,0.11593,0.29382,-0.51420
combined,0.2,control_barrier_fault_tolerant_mpc,9,120,0.15833,0.68919,0.28095,0.15409,0.69912,0.19297,0.17892,0.16581,0.92083,0.05898,0.12081,0.27904,-0.39823
combined,0.2,domain_randomized_policy,0,120,0.05000,0.68537,0.25119,0.25340,0.78700,0.19190,0.14587,0.16963,0.93423,0.07605,0.25095,0.28092,-0.52205
combined,0.2,domain_randomized_policy,1,120,0.08333,0.68615,0.23988,0.26619,0.75095,0.19212,0.14288,0.16885,0.93690,0.07419,0.25661,0.27471,-0.48222
combined,0.2,domain_randomized_policy,2,120,0.11667,0.67290,0.20952,0.26228,0.75398,0.18841,0.15815,0.18210,0.92917,0.07562,0.25088,0.25588,-0.42520
combined,0.2,domain_randomized_policy,3,120,0.17500,0.68337,0.25089,0.27293,0.74199,0.19134,0.16953,0.17163,0.91905,0.07255,0.26728,0.28351,-0.39609
combined,0.2,domain_randomized_policy,4,120,0.11667,0.65001,0.21875,0.26188,0.75199,0.18200,0.18790,0.20499,0.90238,0.07498,0.26269,0.26445,-0.42143
combined,0.2,domain_randomized_policy,5,120,0.05000,0.68613,0.23452,0.27210,0.77410,0.19212,0.13186,0.16887,0.93125,0.07595,0.26068,0.27302,-0.51522
combined,0.2,domain_randomized_policy,6,120,0.07500,0.70938,0.28155,0.25722,0.77924,0.19863,0.13057,0.14562,0.92619,0.07519,0.25546,0.30186,-0.52318
combined,0.2,domain_randomized_policy,7,120,0.12500,0.68078,0.24137,0.24330,0.76675,0.19062,0.15789,0.17422,0.92560,0.07633,0.25543,0.27602,-0.43631
combined,0.2,domain_randomized_policy,8,120,0.08333,0.70008,0.24911,0.27419,0.80427,0.19602,0.12493,0.15492,0.94673,0.07540,0.26651,0.28311,-0.49951
combined,0.2,domain_randomized_policy,9,120,0.10000,0.64823,0.20952,0.26675,0.73119,0.18151,0.16309,0.20677,0.88988,0.07529,0.26581,0.25926,-0.43072
combined,0.2,latent_asymmetry_belief_policy_v5,0,120,0.21667,0.69019,0.28631,0.13595,0.90342,0.19325,0.21021,0.16481,0.90863,0.07916,0.06463,0.27258,-0.35158
combined,0.2,latent_asymmetry_belief_policy_v5,1,120,0.15000,0.68163,0.27560,0.13332,0.86493,0.19086,0.20065,0.17337,0.90565,0.08055,0.06024,0.26524,-0.40492
combined,0.2,latent_asymmetry_belief_policy_v5,2,120,0.17500,0.65872,0.21548,0.13020,0.86985,0.18444,0.19996,0.19628,0.90774,0.08042,0.06509,0.22970,-0.33721
combined,0.2,latent_asymmetry_belief_policy_v5,3,120,0.18333,0.65176,0.22351,0.14809,0.85140,0.18249,0.22422,0.20324,0.87321,0.07940,0.07024,0.23556,-0.33076
combined,0.2,latent_asymmetry_belief_policy_v5,4,120,0.23333,0.62715,0.22054,0.14249,0.86327,0.17560,0.23899,0.22785,0.86815,0.08094,0.06828,0.23362,-0.26976
combined,0.2,latent_asymmetry_belief_policy_v5,5,120,0.15000,0.68014,0.26607,0.13198,0.89171,0.19044,0.18139,0.17486,0.89762,0.07902,0.06611,0.26031,-0.40077
combined,0.2,latent_asymmetry_belief_policy_v5,6,120,0.12500,0.69336,0.27827,0.15153,0.88818,0.19414,0.18304,0.16164,0.91667,0.07970,0.06609,0.26884,-0.44159
combined,0.2,latent_asymmetry_belief_policy_v5,7,120,0.15000,0.67184,0.24494,0.13615,0.89338,0.18811,0.21968,0.18316,0.91458,0.08128,0.06847,0.24866,-0.38753
combined,0.2,latent_asymmetry_belief_policy_v5,8,120,0.17500,0.66667,0.24643,0.13881,0.89190,0.18667,0.22263,0.18833,0.89256,0.08122,0.06138,0.24850,-0.35996
combined,0.2,latent_asymmetry_belief_policy_v5,9,120,0.17500,0.64497,0.21994,0.14519,0.86458,0.18059,0.23006,0.21003,0.89107,0.08007,0.06769,0.23295,-0.33603
combined,0.2,online_system_id,0,120,0.11667,0.66323,0.22649,0.13558,0.87319,0.18571,0.18486,0.19177,0.91994,0.08548,0.08743,0.23951,-0.40720
combined,0.2,online_system_id,1,120,0.10833,0.67022,0.22798,0.14051,0.81988,0.18766,0.16196,0.18478,0.91161,0.08403,0.09331,0.24185,-0.41541
combined,0.2,online_system_id,2,120,0.10000,0.65926,0.19881,0.13163,0.82439,0.18459,0.17339,0.19574,0.91429,0.08291,0.08644,0.22341,-0.40143
combined,0.2,online_system_id,3,120,0.10833,0.63718,0.19196,0.15277,0.78817,0.17841,0.17949,0.21782,0.87946,0.08323,0.10018,0.22123,-0.38067
combined,0.2,online_system_id,4,120,0.17500,0.61434,0.17917,0.13851,0.81084,0.17201,0.23185,0.24066,0.87500,0.08331,0.08933,0.21247,-0.29675
combined,0.2,online_system_id,5,120,0.11667,0.67423,0.23720,0.13837,0.86157,0.18878,0.18434,0.18077,0.91786,0.08509,0.08997,0.24710,-0.41697
combined,0.2,online_system_id,6,120,0.08333,0.68513,0.25565,0.14401,0.85826,0.19184,0.15897,0.16987,0.91518,0.08502,0.09100,0.25866,-0.46549
combined,0.2,online_system_id,7,120,0.08333,0.67573,0.24196,0.12971,0.86157,0.18920,0.18315,0.17927,0.92827,0.08417,0.09102,0.25082,-0.45292
combined,0.2,online_system_id,8,120,0.05833,0.68618,0.25298,0.14146,0.87543,0.19213,0.15563,0.16882,0.92321,0.08469,0.09182,0.25698,-0.49083
combined,0.2,online_system_id,9,120,0.20000,0.63752,0.18780,0.15002,0.82662,0.17851,0.22602,0.21748,0.91250,0.08455,0.09865,0.21905,-0.29121
combined,0.2,oracle_asymmetry_state,0,120,0.15833,0.68414,0.29286,0.15809,0.94542,0.25997,0.20605,0.17086,0.88929,0.08482,0.04442,0.27321,-0.41565
combined,0.2,oracle_asymmetry_state,1,120,0.15833,0.67311,0.25446,0.14361,0.90251,0.25578,0.24426,0.18189,0.90417,0.08599,0.04355,0.24973,-0.38449
combined,0.2,oracle_asymmetry_state,2,120,0.20833,0.64359,0.23601,0.13909,0.90872,0.24457,0.26067,0.21141,0.86994,0.08616,0.04221,0.23889,-0.31077
combined,0.2,oracle_asymmetry_state,3,120,0.16667,0.65684,0.24167,0.16563,0.91258,0.24960,0.23037,0.19816,0.87440,0.08658,0.04716,0.24269,-0.36571
combined,0.2,oracle_asymmetry_state,4,120,0.21667,0.62182,0.19851,0.15260,0.91285,0.23629,0.25430,0.23318,0.85655,0.08822,0.04584,0.21769,-0.27483
combined,0.2,oracle_asymmetry_state,5,120,0.13333,0.65658,0.24018,0.14114,0.91540,0.24950,0.22467,0.19842,0.87649,0.08610,0.04597,0.24183,-0.39442
combined,0.2,oracle_asymmetry_state,6,120,0.15000,0.69245,0.29137,0.16144,0.92787,0.26313,0.19872,0.16255,0.90179,0.08367,0.04157,0.27298,-0.42577
combined,0.2,oracle_asymmetry_state,7,120,0.25833,0.66716,0.25268,0.14720,0.93021,0.25352,0.25222,0.18784,0.88869,0.08479,0.04362,0.24967,-0.28318
combined,0.2,oracle_asymmetry_state,8,120,0.27500,0.66716,0.28065,0.14944,0.92289,0.25352,0.22993,0.18784,0.87143,0.08633,0.04660,0.26695,-0.28171
combined,0.2,oracle_asymmetry_state,9,120,0.18333,0.62874,0.21012,0.15831,0.91391,0.23892,0.25581,0.22626,0.86250,0.08635,0.04522,0.22404,-0.31869
combined,0.2,robust_l1_adaptive_control,0,120,0.08333,0.70812,0.29554,0.13929,0.78221,0.19827,0.14615,0.14688,0.92173,0.06826,0.07582,0.28013,-0.48923
combined,0.2,robust_l1_adaptive_control,1,120,0.05000,0.71060,0.27292,0.13343,0.75303,0.19897,0.12426,0.14440,0.95000,0.06756,0.07259,0.26589,-0.50851
combined,0.2,robust_l1_adaptive_control,2,120,0.11667,0.69041,0.26250,0.12962,0.75558,0.19331,0.15296,0.16459,0.92113,0.06779,0.07661,0.26054,-0.42671
combined,0.2,robust_l1_adaptive_control,3,120,0.13333,0.68800,0.26220,0.14099,0.75513,0.19264,0.16477,0.16700,0.90804,0.06694,0.07389,0.25939,-0.40979
combined,0.2,robust_l1_adaptive_control,4,120,0.20000,0.65574,0.23304,0.14047,0.73929,0.18361,0.20941,0.19926,0.88631,0.06890,0.07799,0.24317,-0.31226
combined,0.2,robust_l1_adaptive_control,5,120,0.05833,0.70122,0.26994,0.13044,0.76953,0.19634,0.13786,0.15378,0.91161,0.06731,0.07160,0.26488,-0.49353
combined,0.2,robust_l1_adaptive_control,6,120,0.10833,0.73449,0.32530,0.13666,0.78242,0.20566,0.14485,0.12051,0.94435,0.06684,0.07532,0.29904,-0.49190
combined,0.2,robust_l1_adaptive_control,7,120,0.12500,0.71225,0.28214,0.13477,0.78526,0.19943,0.15893,0.14275,0.94554,0.06793,0.07737,0.27289,-0.44236
combined,0.2,robust_l1_adaptive_control,8,120,0.09167,0.71028,0.29196,0.12700,0.78605,0.19888,0.14048,0.14472,0.92470,0.06927,0.07477,0.27850,-0.47804
combined,0.2,robust_l1_adaptive_control,9,120,0.14167,0.67355,0.22619,0.14277,0.75906,0.18859,0.18990,0.18145,0.92232,0.06655,0.07445,0.23856,-0.37686
combined,0.2,unscented_kalman_fault_observer,0,120,0.11667,0.68722,0.26161,0.13255,0.91084,0.19242,0.17442,0.16778,0.92143,0.08273,0.06986,0.25801,-0.43742
combined,0.2,unscented_kalman_fault_observer,1,120,0.09167,0.66892,0.23571,0.14147,0.84244,0.18730,0.16385,0.18608,0.90536,0.08221,0.07181,0.24302,-0.43596
combined,0.2,unscented_kalman_fault_observer,2,120,0.14167,0.66164,0.22679,0.12190,0.85912,0.18526,0.20577,0.19336,0.90417,0.08101,0.06934,0.23738,-0.37609
combined,0.2,unscented_kalman_fault_observer,3,120,0.14167,0.64710,0.20685,0.14712,0.83475,0.18119,0.17128,0.20790,0.90476,0.08217,0.06979,0.22526,-0.36145
combined,0.2,unscented_kalman_fault_observer,4,120,0.15000,0.62781,0.19851,0.14639,0.84083,0.17579,0.20798,0.22719,0.87321,0.08369,0.06862,0.22149,-0.33972
combined,0.2,unscented_kalman_fault_observer,5,120,0.11667,0.68156,0.24881,0.12590,0.88603,0.19084,0.15980,0.17344,0.92411,0.08263,0.06608,0.25028,-0.42476
combined,0.2,unscented_kalman_fault_observer,6,120,0.12500,0.69648,0.27649,0.15726,0.88296,0.19501,0.17604,0.15852,0.91339,0.08364,0.06677,0.26833,-0.44204
combined,0.2,unscented_kalman_fault_observer,7,120,0.12500,0.66881,0.21726,0.13898,0.88686,0.18727,0.19621,0.18619,0.92411,0.08291,0.06760,0.23177,-0.39582
combined,0.2,unscented_kalman_fault_observer,8,120,0.14167,0.67576,0.23363,0.13914,0.88692,0.18921,0.17941,0.17924,0.92262,0.08204,0.06751,0.24104,-0.39109
combined,0.2,unscented_kalman_fault_observer,9,120,0.15000,0.64482,0.20952,0.15451,0.85429,0.18055,0.19280,0.21018,0.90208,0.08267,0.06701,0.22688,-0.35621
combined,0.4,control_barrier_fault_tolerant_mpc,0,120,0.07500,0.71623,0.33333,0.25467,0.78490,0.20055,0.14541,0.13877,0.90089,0.07609,0.18355,0.33140,-0.54845
combined,0.4,control_barrier_fault_tolerant_mpc,1,120,0.07500,0.80163,0.42827,0.25977,0.78761,0.22446,0.11926,0.05337,0.94911,0.07493,0.17695,0.38977,-0.63766
combined,0.4,control_barrier_fault_tolerant_mpc,2,120,0.08333,0.76742,0.38601,0.30281,0.78722,0.21488,0.11483,0.08758,0.90923,0.07227,0.18569,0.36356,-0.59766
combined,0.4,control_barrier_fault_tolerant_mpc,3,120,0.08333,0.76209,0.38839,0.28517,0.79006,0.21339,0.12462,0.09291,0.93839,0.07300,0.18022,0.36218,-0.59584
combined,0.4,control_barrier_fault_tolerant_mpc,4,120,0.10000,0.75791,0.37381,0.27186,0.77221,0.21221,0.13405,0.09709,0.89345,0.07535,0.18073,0.35756,-0.56300
combined,0.4,control_barrier_fault_tolerant_mpc,5,120,0.10833,0.75588,0.38393,0.26877,0.77839,0.21165,0.12736,0.09912,0.90238,0.07433,0.17708,0.36004,-0.56005
combined,0.4,control_barrier_fault_tolerant_mpc,6,120,0.07500,0.79991,0.45863,0.26952,0.79555,0.22397,0.10171,0.05509,0.93899,0.07199,0.17998,0.40626,-0.65648
combined,0.4,control_barrier_fault_tolerant_mpc,7,120,0.08333,0.76714,0.42321,0.25071,0.78819,0.21480,0.12569,0.08786,0.92202,0.07229,0.16938,0.38301,-0.61034
combined,0.4,control_barrier_fault_tolerant_mpc,8,120,0.07500,0.73932,0.37202,0.25769,0.79623,0.20701,0.13571,0.11568,0.90952,0.07471,0.17351,0.35267,-0.58031
combined,0.4,control_barrier_fault_tolerant_mpc,9,120,0.08333,0.76731,0.38661,0.29928,0.81470,0.21485,0.12560,0.08769,0.95357,0.07375,0.17927,0.36256,-0.60175
combined,0.4,domain_randomized_policy,0,120,0.08333,0.70120,0.30387,0.44375,0.79969,0.19634,0.12818,0.15380,0.91101,0.08873,0.42279,0.35128,-0.56880
combined,0.4,domain_randomized_policy,1,120,0.04167,0.75174,0.33661,0.45198,0.82680,0.21049,0.08489,0.10326,0.95506,0.09020,0.41045,0.36785,-0.65279
