stress_axis,stress_level,method,seed,rows,task_success,tracking_error,safety_violation,asymmetry_error,actuator_energy,adaptation_regret,calibration_error,constraint_margin,recovery_time,control_smoothness,state_uncertainty,risk_score,robust_utility
combined,0.0,control_barrier_fault_tolerant_mpc,0,120,0.10000,0.71984,0.31131,0.02939,0.66101,0.20156,0.15940,0.13516,0.95030,0.04466,0.03200,0.27587,-0.45686
combined,0.0,control_barrier_fault_tolerant_mpc,1,120,0.17500,0.69169,0.28929,0.02969,0.64507,0.19367,0.20430,0.16331,0.93036,0.04422,0.02957,0.26024,-0.35634
combined,0.0,control_barrier_fault_tolerant_mpc,2,120,0.08333,0.70190,0.28304,0.03484,0.63288,0.19653,0.15716,0.15310,0.94435,0.04328,0.03210,0.25693,-0.44894
combined,0.0,control_barrier_fault_tolerant_mpc,3,120,0.14167,0.66418,0.23065,0.03053,0.61798,0.18597,0.16478,0.19082,0.91577,0.04405,0.03152,0.22549,-0.34301
combined,0.0,control_barrier_fault_tolerant_mpc,4,120,0.14167,0.68444,0.28036,0.03078,0.62571,0.19164,0.20172,0.17056,0.91012,0.04474,0.03239,0.25602,-0.37952
combined,0.0,control_barrier_fault_tolerant_mpc,5,120,0.16667,0.65797,0.24167,0.03063,0.63809,0.18423,0.18683,0.19703,0.90893,0.04496,0.03211,0.23240,-0.32342
combined,0.0,control_barrier_fault_tolerant_mpc,6,120,0.12500,0.70003,0.26756,0.03152,0.64334,0.19601,0.17480,0.15497,0.95149,0.04358,0.03313,0.24788,-0.39844
combined,0.0,control_barrier_fault_tolerant_mpc,7,120,0.19167,0.67018,0.25327,0.02868,0.62139,0.18765,0.22657,0.18482,0.90119,0.04400,0.03295,0.23942,-0.30750
combined,0.0,control_barrier_fault_tolerant_mpc,8,120,0.14167,0.68461,0.28750,0.03002,0.63608,0.19169,0.17633,0.17039,0.92262,0.04308,0.03088,0.25903,-0.38506
combined,0.0,control_barrier_fault_tolerant_mpc,9,120,0.10000,0.71837,0.29970,0.02954,0.63885,0.20114,0.15157,0.13663,0.97232,0.04360,0.03027,0.26650,-0.44904
