split,ablation,seed,rows,task_success,tracking_error,safety_violation,asymmetry_error,actuator_energy,adaptation_regret,calibration_error,constraint_margin,recovery_time,control_smoothness,state_uncertainty,risk_score,robust_utility
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,0,168,0.08333,0.73535,0.34099,0.37396,1.10143,0.20590,0.13292,0.11965,0.89605,0.11029,0.12019,0.33465,-0.59049
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,1,168,0.13095,0.73034,0.34375,0.32338,1.10539,0.20450,0.16249,0.12466,0.88520,0.11698,0.11928,0.33660,-0.53417
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,2,168,0.13095,0.70670,0.31866,0.32922,1.07621,0.19788,0.17208,0.14830,0.85034,0.11719,0.11857,0.32124,-0.50756
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,3,168,0.11905,0.73049,0.34588,0.34821,1.09546,0.20454,0.15715,0.12451,0.90094,0.11503,0.11725,0.33655,-0.55133
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,4,168,0.10714,0.73087,0.36522,0.34026,1.11029,0.20464,0.13135,0.12413,0.88712,0.10786,0.12096,0.34831,-0.57397
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,5,168,0.08333,0.71539,0.33227,0.36518,1.09388,0.20031,0.14395,0.13961,0.87266,0.11567,0.11974,0.32816,-0.57480
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,6,168,0.14286,0.69762,0.28635,0.34460,1.08172,0.19533,0.17616,0.15738,0.88350,0.11388,0.12078,0.30078,-0.47872
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,7,168,0.12500,0.75144,0.38712,0.31075,1.12105,0.21040,0.15929,0.10356,0.90391,0.11365,0.11483,0.36103,-0.57287
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,8,168,0.12500,0.75251,0.37946,0.36315,1.10381,0.21070,0.14704,0.10249,0.89987,0.11109,0.12062,0.35883,-0.57604
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,9,168,0.12500,0.74087,0.37160,0.33090,1.08980,0.20744,0.14876,0.11413,0.90136,0.11453,0.12039,0.35372,-0.56108
combined_hard_shift,minus_deadzone_saturation_state,0,168,0.04762,0.76622,0.37415,0.38592,0.99854,0.21454,0.09595,0.08878,0.92836,0.10346,0.12334,0.35457,-0.65243
combined_hard_shift,minus_deadzone_saturation_state,1,168,0.07738,0.75549,0.35991,0.34749,1.00800,0.21154,0.12892,0.09951,0.90582,0.10653,0.11823,0.34730,-0.60339
combined_hard_shift,minus_deadzone_saturation_state,2,168,0.09524,0.72881,0.35289,0.35562,0.96220,0.20407,0.13797,0.12619,0.87968,0.10886,0.12450,0.34309,-0.56843
combined_hard_shift,minus_deadzone_saturation_state,3,168,0.07738,0.75051,0.37202,0.37397,0.97741,0.21014,0.12392,0.10449,0.90668,0.10609,0.13009,0.35532,-0.61141
combined_hard_shift,minus_deadzone_saturation_state,4,168,0.07143,0.77220,0.39860,0.36268,1.01615,0.21622,0.10052,0.08280,0.92326,0.09960,0.11514,0.36892,-0.64168
combined_hard_shift,minus_deadzone_saturation_state,5,168,0.07738,0.74341,0.34736,0.38019,0.98796,0.20815,0.13586,0.11159,0.90285,0.10466,0.12825,0.34110,-0.59601
combined_hard_shift,minus_deadzone_saturation_state,6,168,0.11310,0.72625,0.32632,0.34434,0.97636,0.20335,0.14359,0.12875,0.87946,0.10635,0.12383,0.32710,-0.53350
combined_hard_shift,minus_deadzone_saturation_state,7,168,0.06548,0.75989,0.38457,0.32489,1.01171,0.21277,0.12523,0.09511,0.90923,0.10767,0.11694,0.36262,-0.62796
combined_hard_shift,minus_deadzone_saturation_state,8,168,0.08929,0.77281,0.39583,0.36368,0.99145,0.21639,0.11910,0.08219,0.92304,0.10533,0.12358,0.36949,-0.62128
combined_hard_shift,minus_deadzone_saturation_state,9,168,0.10714,0.74459,0.38988,0.34255,0.96331,0.20849,0.12545,0.11041,0.88861,0.10538,0.12859,0.36543,-0.58252
combined_hard_shift,minus_latency_compensation,0,168,0.08929,0.72956,0.33610,0.38956,1.08192,0.20428,0.13081,0.12544,0.88712,0.11132,0.12759,0.33269,-0.58061
combined_hard_shift,minus_latency_compensation,1,168,0.11905,0.73270,0.35077,0.33373,1.09289,0.20516,0.15320,0.12230,0.87883,0.11417,0.11871,0.34155,-0.55122
combined_hard_shift,minus_latency_compensation,2,168,0.09524,0.71647,0.33673,0.34235,1.06795,0.20061,0.15717,0.13853,0.85991,0.11490,0.12120,0.33252,-0.55950
combined_hard_shift,minus_latency_compensation,3,168,0.06548,0.74733,0.36480,0.36172,1.08348,0.20925,0.10321,0.10767,0.90115,0.11308,0.12199,0.34972,-0.62353
combined_hard_shift,minus_latency_compensation,4,168,0.10714,0.74761,0.38563,0.34577,1.10186,0.20933,0.15168,0.10739,0.89838,0.10690,0.11772,0.36253,-0.59245
combined_hard_shift,minus_latency_compensation,5,168,0.07143,0.73575,0.33525,0.37105,1.08838,0.20601,0.11207,0.11925,0.91263,0.11168,0.12440,0.33115,-0.59903
combined_hard_shift,minus_latency_compensation,6,168,0.10119,0.74056,0.34673,0.34692,1.07752,0.20736,0.13982,0.11444,0.88988,0.11149,0.11762,0.33825,-0.57102
combined_hard_shift,minus_latency_compensation,7,168,0.10714,0.73381,0.34949,0.31497,1.10191,0.20547,0.14726,0.12119,0.87585,0.11429,0.11646,0.33843,-0.56015
combined_hard_shift,minus_latency_compensation,8,168,0.09524,0.75308,0.36969,0.38091,1.08048,0.21086,0.12264,0.10192,0.90094,0.11372,0.12458,0.35414,-0.60169
combined_hard_shift,minus_latency_compensation,9,168,0.13095,0.74085,0.37840,0.34808,1.06342,0.20744,0.14278,0.11415,0.88202,0.11282,0.12366,0.35757,-0.55881
combined_hard_shift,minus_online_residual_update,0,168,0.07738,0.74799,0.37224,0.30195,1.01813,0.20944,0.12314,0.10701,0.90072,0.09908,0.41049,0.40029,-0.62444
combined_hard_shift,minus_online_residual_update,1,168,0.12500,0.72668,0.33206,0.28907,1.01428,0.20347,0.13140,0.12832,0.89009,0.10089,0.39506,0.37296,-0.54160
combined_hard_shift,minus_online_residual_update,2,168,0.07143,0.72335,0.34524,0.29291,0.98930,0.20254,0.13372,0.13165,0.85204,0.10387,0.41017,0.38415,-0.59916
combined_hard_shift,minus_online_residual_update,3,168,0.06548,0.73822,0.36416,0.28628,1.00363,0.20670,0.11732,0.11678,0.88414,0.10010,0.40774,0.39436,-0.62326
combined_hard_shift,minus_online_residual_update,4,168,0.07738,0.75329,0.38584,0.29284,1.02745,0.21092,0.12721,0.10171,0.89923,0.09584,0.39893,0.40744,-0.63251
combined_hard_shift,minus_online_residual_update,5,168,0.07738,0.73869,0.35502,0.29860,1.01250,0.20683,0.12410,0.11631,0.89668,0.09728,0.42201,0.39059,-0.61080
combined_hard_shift,minus_online_residual_update,6,168,0.07143,0.73999,0.34928,0.29036,1.00746,0.20720,0.13039,0.11501,0.89583,0.09936,0.39957,0.38418,-0.61032
combined_hard_shift,minus_online_residual_update,7,168,0.10714,0.75071,0.38584,0.27911,1.03441,0.21020,0.12979,0.10429,0.89094,0.09865,0.38465,0.40456,-0.59854
combined_hard_shift,minus_online_residual_update,8,168,0.05357,0.72913,0.33355,0.29798,1.00121,0.20416,0.12005,0.12587,0.87819,0.10255,0.42304,0.37944,-0.61668
combined_hard_shift,minus_online_residual_update,9,168,0.08929,0.73964,0.37287,0.28683,1.00572,0.20710,0.12172,0.11536,0.89201,0.09595,0.40513,0.39910,-0.60553
combined_hard_shift,minus_persistent_latent_memory,0,168,0.07143,0.76408,0.41475,0.29932,1.02066,0.21394,0.10326,0.09092,0.91008,0.09662,0.38336,0.42192,-0.65901
combined_hard_shift,minus_persistent_latent_memory,1,168,0.08333,0.73883,0.35672,0.28953,1.03398,0.20687,0.13707,0.11617,0.88031,0.09952,0.37067,0.38537,-0.60106
combined_hard_shift,minus_persistent_latent_memory,2,168,0.10119,0.71974,0.34524,0.28824,1.00296,0.20153,0.14565,0.13526,0.86373,0.09857,0.37900,0.37986,-0.56665
combined_hard_shift,minus_persistent_latent_memory,3,168,0.10119,0.74809,0.36416,0.28631,1.02171,0.20946,0.13619,0.10691,0.90625,0.09912,0.37675,0.38970,-0.59139
combined_hard_shift,minus_persistent_latent_memory,4,168,0.06548,0.76311,0.40391,0.28994,1.03303,0.21367,0.11620,0.09189,0.88754,0.09335,0.37108,0.41419,-0.65548
combined_hard_shift,minus_persistent_latent_memory,5,168,0.08333,0.73101,0.34588,0.29406,1.01579,0.20468,0.13668,0.12399,0.90349,0.09992,0.38336,0.37937,-0.59363
combined_hard_shift,minus_persistent_latent_memory,6,168,0.08929,0.73386,0.35480,0.28541,1.00909,0.20548,0.13641,0.12114,0.89009,0.10141,0.37913,0.38508,-0.59082
combined_hard_shift,minus_persistent_latent_memory,7,168,0.07143,0.75886,0.38010,0.27299,1.05719,0.21248,0.10272,0.09614,0.90710,0.09565,0.35347,0.39643,-0.63318
combined_hard_shift,minus_persistent_latent_memory,8,168,0.11905,0.74256,0.35523,0.29878,1.01479,0.20792,0.13458,0.11244,0.88520,0.09956,0.38493,0.38699,-0.56720
combined_hard_shift,minus_persistent_latent_memory,9,168,0.07143,0.74786,0.37075,0.28231,1.00630,0.20940,0.11134,0.10714,0.89009,0.09773,0.38523,0.39568,-0.62273
combined_hard_shift,minus_safety_aware_action_clipping,0,168,0.08929,0.68180,0.44813,0.36229,1.31354,0.19090,0.13999,0.16499,0.85480,0.16526,0.13106,0.39565,-0.64090
combined_hard_shift,minus_safety_aware_action_clipping,1,168,0.11905,0.66412,0.39222,0.33022,1.30007,0.18595,0.16201,0.18326,0.84885,0.16130,0.12789,0.36373,-0.56553
