split,ablation,seed,rows,task_success,tracking_error,safety_violation,asymmetry_error,actuator_energy,adaptation_regret,calibration_error,constraint_margin,recovery_time,control_smoothness,state_uncertainty,risk_score,robust_utility
combined_hard_shift,minus_safety_aware_action_clipping,2,168,0.12500,0.66689,0.41709,0.33476,1.30121,0.18673,0.16254,0.18049,0.82972,0.15865,0.12641,0.37799,-0.57455
combined_hard_shift,minus_safety_aware_action_clipping,3,168,0.05952,0.68965,0.42283,0.34663,1.30810,0.19310,0.15717,0.15799,0.88074,0.15999,0.12034,0.38051,-0.65657
combined_hard_shift,minus_safety_aware_action_clipping,4,168,0.09524,0.69130,0.46832,0.33136,1.33853,0.19356,0.13524,0.15396,0.84694,0.15640,0.12506,0.40906,-0.64618
combined_hard_shift,minus_safety_aware_action_clipping,5,168,0.12500,0.68165,0.41901,0.36040,1.32388,0.19086,0.16416,0.16422,0.86352,0.16348,0.12832,0.37921,-0.58907
combined_hard_shift,minus_safety_aware_action_clipping,6,168,0.09524,0.69396,0.44962,0.32746,1.33645,0.19431,0.13616,0.15252,0.88180,0.15755,0.12159,0.39626,-0.63731
combined_hard_shift,minus_safety_aware_action_clipping,7,168,0.13095,0.67218,0.40923,0.31296,1.30248,0.18821,0.17880,0.17564,0.83121,0.16297,0.12593,0.37319,-0.56260
combined_hard_shift,minus_safety_aware_action_clipping,8,168,0.11310,0.67132,0.42687,0.36437,1.31186,0.18797,0.15172,0.17550,0.85395,0.16296,0.13174,0.38362,-0.60119
combined_hard_shift,minus_safety_aware_action_clipping,9,168,0.10119,0.69446,0.47747,0.33763,1.32359,0.19445,0.13771,0.15156,0.85374,0.15175,0.12383,0.41380,-0.64678
combined_hard_shift,minus_sign_specific_asymmetry,0,168,0.07738,0.76777,0.39009,0.39381,1.01024,0.21498,0.12345,0.08723,0.91603,0.10359,0.12695,0.36621,-0.63422
combined_hard_shift,minus_sign_specific_asymmetry,1,168,0.09524,0.74431,0.35162,0.35077,0.99830,0.20841,0.12859,0.11069,0.91008,0.10735,0.11866,0.34205,-0.57673
combined_hard_shift,minus_sign_specific_asymmetry,2,168,0.06548,0.74212,0.35757,0.35446,0.98668,0.20779,0.11407,0.11288,0.87224,0.10980,0.11916,0.34545,-0.60659
combined_hard_shift,minus_sign_specific_asymmetry,3,168,0.09524,0.74632,0.38712,0.35996,0.99045,0.20897,0.13035,0.10868,0.89775,0.10691,0.12512,0.36271,-0.59867
combined_hard_shift,minus_sign_specific_asymmetry,4,168,0.08333,0.78951,0.44834,0.36592,1.02839,0.22106,0.12498,0.06549,0.91327,0.10280,0.12077,0.40120,-0.66620
combined_hard_shift,minus_sign_specific_asymmetry,5,168,0.08929,0.74326,0.36076,0.37084,0.99519,0.20811,0.12658,0.11174,0.90009,0.10671,0.12364,0.34707,-0.59037
combined_hard_shift,minus_sign_specific_asymmetry,6,168,0.07738,0.73480,0.34205,0.35602,0.98703,0.20574,0.12681,0.12020,0.90859,0.10955,0.12442,0.33557,-0.58593
combined_hard_shift,minus_sign_specific_asymmetry,7,168,0.07143,0.75660,0.36862,0.33154,1.02944,0.21185,0.12412,0.09840,0.90582,0.10825,0.11594,0.35101,-0.61377
combined_hard_shift,minus_sign_specific_asymmetry,8,168,0.10714,0.75902,0.36905,0.36392,1.00827,0.21253,0.12299,0.09598,0.93197,0.10532,0.12351,0.35303,-0.58484
combined_hard_shift,minus_sign_specific_asymmetry,9,168,0.09524,0.73736,0.38308,0.35895,0.96090,0.20646,0.13663,0.11764,0.88542,0.10975,0.13367,0.36218,-0.59052
combined_hard_shift,minus_thermal_drift_update,0,168,0.11310,0.73767,0.37096,0.36241,1.10250,0.20655,0.14487,0.11733,0.88202,0.10871,0.12687,0.35439,-0.57688
combined_hard_shift,minus_thermal_drift_update,1,168,0.13690,0.71065,0.33355,0.31694,1.10044,0.19898,0.16701,0.14435,0.86097,0.11590,0.12036,0.33121,-0.51242
combined_hard_shift,minus_thermal_drift_update,2,168,0.10119,0.70657,0.31548,0.33283,1.09122,0.19784,0.16041,0.14843,0.86565,0.11610,0.12476,0.32015,-0.53862
combined_hard_shift,minus_thermal_drift_update,3,168,0.15476,0.71303,0.33546,0.34114,1.09150,0.19965,0.17391,0.14197,0.85587,0.11420,0.12095,0.33082,-0.49942
combined_hard_shift,minus_thermal_drift_update,4,168,0.10119,0.75139,0.38542,0.32894,1.11968,0.21039,0.14692,0.10361,0.88095,0.10698,0.12104,0.36318,-0.59760
combined_hard_shift,minus_thermal_drift_update,5,168,0.10714,0.70856,0.32568,0.35240,1.10042,0.19840,0.16670,0.14644,0.87287,0.11422,0.12612,0.32536,-0.54371
combined_hard_shift,minus_thermal_drift_update,6,168,0.07738,0.72893,0.35438,0.33223,1.09939,0.20410,0.13182,0.12607,0.87521,0.11339,0.12126,0.34242,-0.59389
combined_hard_shift,minus_thermal_drift_update,7,168,0.08333,0.74897,0.38053,0.31331,1.13432,0.20971,0.13051,0.10603,0.89732,0.11055,0.11589,0.35802,-0.61099
combined_hard_shift,minus_thermal_drift_update,8,168,0.10119,0.73638,0.36522,0.35417,1.10945,0.20619,0.13943,0.11862,0.88946,0.11243,0.11937,0.35014,-0.58407
combined_hard_shift,minus_thermal_drift_update,9,168,0.10714,0.73196,0.35821,0.33960,1.08663,0.20495,0.14572,0.12304,0.88839,0.11368,0.12209,0.34494,-0.56846
combined_hard_shift,no_belief_uncertainty,0,168,0.08333,0.72985,0.36480,0.37319,1.10520,0.20436,0.14235,0.12515,0.87925,0.11181,0.13133,0.35103,-0.60238
combined_hard_shift,no_belief_uncertainty,1,168,0.10119,0.72533,0.33185,0.32245,1.11078,0.20309,0.13984,0.12967,0.88967,0.11787,0.12506,0.32988,-0.55624
combined_hard_shift,no_belief_uncertainty,2,168,0.13690,0.69506,0.33546,0.33476,1.06467,0.19462,0.18632,0.15994,0.83503,0.12212,0.13182,0.33379,-0.50726
combined_hard_shift,no_belief_uncertainty,3,168,0.12500,0.72181,0.34396,0.35432,1.08925,0.20211,0.16090,0.13319,0.87415,0.11656,0.13224,0.33769,-0.54121
combined_hard_shift,no_belief_uncertainty,4,168,0.14286,0.75698,0.41093,0.33155,1.11256,0.21195,0.15659,0.09802,0.87649,0.10956,0.12649,0.38087,-0.57275
combined_hard_shift,no_belief_uncertainty,5,168,0.08929,0.73904,0.34991,0.36023,1.10066,0.20693,0.14298,0.11596,0.89520,0.11024,0.13186,0.34227,-0.58967
combined_hard_shift,no_belief_uncertainty,6,168,0.08333,0.72065,0.32355,0.34858,1.08439,0.20178,0.15082,0.13435,0.88202,0.11452,0.13193,0.32642,-0.56976
combined_hard_shift,no_belief_uncertainty,7,168,0.08929,0.73166,0.34906,0.31735,1.12411,0.20486,0.14768,0.12334,0.87713,0.11084,0.12363,0.34093,-0.57979
combined_hard_shift,no_belief_uncertainty,8,168,0.13095,0.74288,0.36437,0.36215,1.11122,0.20801,0.14214,0.11212,0.89775,0.11119,0.12385,0.34989,-0.55843
combined_hard_shift,no_belief_uncertainty,9,168,0.11310,0.72869,0.38287,0.34964,1.08080,0.20403,0.15986,0.12631,0.88563,0.11422,0.12754,0.36153,-0.57704
combined_hard_shift,scalar_only_latent_gain,0,168,0.08333,0.75626,0.39073,0.40823,0.95959,0.21175,0.12502,0.09874,0.90285,0.10030,0.12582,0.36583,-0.62186
combined_hard_shift,scalar_only_latent_gain,1,168,0.06548,0.75232,0.36501,0.37731,0.95623,0.21065,0.13155,0.10268,0.89520,0.10273,0.12180,0.35076,-0.61739
combined_hard_shift,scalar_only_latent_gain,2,168,0.10714,0.74095,0.37287,0.39240,0.94495,0.20747,0.13840,0.11405,0.86798,0.10351,0.12439,0.35603,-0.57628
combined_hard_shift,scalar_only_latent_gain,3,168,0.09524,0.75465,0.36224,0.38146,0.93988,0.21130,0.12952,0.10035,0.90242,0.10390,0.12089,0.34934,-0.58658
combined_hard_shift,scalar_only_latent_gain,4,168,0.08929,0.76268,0.39668,0.39593,0.99476,0.21355,0.12077,0.09232,0.89583,0.10067,0.12038,0.36935,-0.62166
combined_hard_shift,scalar_only_latent_gain,5,168,0.06548,0.75998,0.37500,0.39916,0.94901,0.21279,0.11421,0.09502,0.90072,0.10128,0.12477,0.35716,-0.62943
combined_hard_shift,scalar_only_latent_gain,6,168,0.09524,0.75375,0.36182,0.38163,0.95887,0.21105,0.12492,0.10125,0.90923,0.10353,0.11984,0.34741,-0.58788
combined_hard_shift,scalar_only_latent_gain,7,168,0.06548,0.75283,0.37245,0.36333,0.96350,0.21079,0.10858,0.10217,0.91433,0.10348,0.12171,0.35378,-0.62137
combined_hard_shift,scalar_only_latent_gain,8,168,0.08929,0.75491,0.36480,0.40529,0.93019,0.21137,0.13510,0.10009,0.90412,0.10275,0.12778,0.35154,-0.59779
combined_hard_shift,scalar_only_latent_gain,9,168,0.04762,0.76595,0.40370,0.38165,0.92836,0.21447,0.09759,0.08905,0.89328,0.10339,0.12943,0.37445,-0.66155
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,0,168,0.07738,0.73481,0.37011,0.21236,0.97283,0.20575,0.14400,0.12019,0.89583,0.09615,0.08608,0.34592,-0.57425
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,1,168,0.18452,0.68204,0.28529,0.21141,0.95156,0.19097,0.18243,0.17296,0.87032,0.10154,0.09041,0.29565,-0.39588
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,2,168,0.19048,0.69461,0.31207,0.19240,0.95661,0.19449,0.20297,0.16039,0.89371,0.09998,0.08763,0.31082,-0.40853
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,3,168,0.14881,0.69804,0.31037,0.20563,0.94641,0.19545,0.19398,0.15696,0.87925,0.09909,0.08863,0.31050,-0.45096
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,4,168,0.10714,0.70424,0.29358,0.21041,0.97485,0.19719,0.17877,0.15076,0.91433,0.09719,0.09260,0.30160,-0.49058
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,5,168,0.14286,0.68264,0.27891,0.19320,0.95754,0.19114,0.20106,0.17236,0.88159,0.09824,0.08542,0.29064,-0.43191
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,6,168,0.14881,0.70302,0.29103,0.20870,0.98744,0.19685,0.16773,0.15198,0.91709,0.09561,0.08667,0.29804,-0.44742
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,7,168,0.19643,0.67940,0.27976,0.21335,0.93222,0.19023,0.20064,0.17560,0.87946,0.09866,0.09174,0.29189,-0.37924
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,8,168,0.16071,0.67090,0.26318,0.20086,0.94874,0.18785,0.19709,0.18410,0.87054,0.09913,0.09094,0.28188,-0.40100
payload_contact_shift,full_latent_asymmetry_belief_policy_v5,9,168,0.13690,0.65751,0.23236,0.20290,0.97656,0.18410,0.21110,0.19749,0.86182,0.10128,0.08940,0.26350,-0.40402
payload_contact_shift,minus_deadzone_saturation_state,0,168,0.08333,0.74583,0.35863,0.22478,0.92054,0.20883,0.12243,0.10917,0.90944,0.08855,0.08181,0.33877,-0.56389
payload_contact_shift,minus_deadzone_saturation_state,1,168,0.11905,0.68850,0.27572,0.20122,0.84607,0.19278,0.16491,0.16650,0.87415,0.09593,0.09094,0.29070,-0.44834
payload_contact_shift,minus_deadzone_saturation_state,2,168,0.09524,0.73256,0.34354,0.17697,0.89333,0.20512,0.13981,0.12244,0.92283,0.09232,0.07933,0.32899,-0.52924
payload_contact_shift,minus_deadzone_saturation_state,3,168,0.11310,0.69242,0.29422,0.19415,0.85075,0.19388,0.16091,0.16258,0.90604,0.09316,0.09118,0.30038,-0.46760
payload_contact_shift,minus_deadzone_saturation_state,4,168,0.11905,0.73255,0.34779,0.19656,0.89078,0.20511,0.16296,0.12245,0.90965,0.09251,0.08965,0.33498,-0.51085
payload_contact_shift,minus_deadzone_saturation_state,5,168,0.13095,0.71198,0.31378,0.21063,0.88936,0.19935,0.16553,0.14302,0.90582,0.09221,0.08531,0.31150,-0.47337
payload_contact_shift,minus_deadzone_saturation_state,6,168,0.08333,0.72291,0.33163,0.21673,0.90970,0.20241,0.14294,0.13209,0.92071,0.09247,0.09001,0.32375,-0.53916
payload_contact_shift,minus_deadzone_saturation_state,7,168,0.13095,0.70550,0.30442,0.21584,0.86205,0.19754,0.17559,0.14950,0.90689,0.08980,0.08623,0.30696,-0.46440
payload_contact_shift,minus_deadzone_saturation_state,8,168,0.12500,0.69692,0.27806,0.19831,0.85977,0.19514,0.15339,0.15808,0.88223,0.09026,0.09416,0.29230,-0.44815
payload_contact_shift,minus_deadzone_saturation_state,9,168,0.14881,0.68824,0.26084,0.20115,0.90721,0.19271,0.18361,0.16676,0.88754,0.09192,0.08976,0.28078,-0.41544
payload_contact_shift,minus_latency_compensation,0,168,0.11310,0.73197,0.35544,0.21165,0.96836,0.20495,0.15297,0.12303,0.89796,0.09415,0.08573,0.33677,-0.52864
payload_contact_shift,minus_latency_compensation,1,168,0.12500,0.68866,0.29847,0.20761,0.92987,0.19283,0.18441,0.16634,0.87691,0.09899,0.08978,0.30377,-0.46343
payload_contact_shift,minus_latency_compensation,2,168,0.10119,0.70229,0.29698,0.18844,0.95401,0.19664,0.16574,0.15271,0.89626,0.09654,0.08551,0.30205,-0.49097
payload_contact_shift,minus_latency_compensation,3,168,0.09524,0.68774,0.27997,0.20817,0.92573,0.19257,0.15876,0.16726,0.87224,0.09868,0.08944,0.29249,-0.48159
payload_contact_shift,minus_latency_compensation,4,168,0.13095,0.72044,0.33652,0.20291,0.96491,0.20172,0.17392,0.13456,0.90476,0.09638,0.08557,0.32712,-0.49438
payload_contact_shift,minus_latency_compensation,5,168,0.15476,0.69113,0.29018,0.20351,0.94327,0.19352,0.20764,0.16387,0.88138,0.09723,0.09252,0.29942,-0.43066
payload_contact_shift,minus_latency_compensation,6,168,0.11310,0.70767,0.30995,0.21179,0.96346,0.19815,0.17370,0.14733,0.90115,0.09552,0.09000,0.30976,-0.49367
payload_contact_shift,minus_latency_compensation,7,168,0.14286,0.66747,0.26424,0.21984,0.90596,0.18689,0.18899,0.18753,0.84885,0.09993,0.09644,0.28429,-0.41699
payload_contact_shift,minus_latency_compensation,8,168,0.16071,0.66607,0.27083,0.19985,0.91908,0.18650,0.19370,0.18893,0.86310,0.09897,0.09245,0.28663,-0.40084
payload_contact_shift,minus_latency_compensation,9,168,0.11310,0.67044,0.25191,0.19446,0.96284,0.18772,0.17043,0.18456,0.85417,0.09762,0.08816,0.27530,-0.44082
payload_contact_shift,minus_online_residual_update,0,168,0.06548,0.72623,0.35651,0.20320,0.91771,0.20334,0.12715,0.12877,0.90497,0.08684,0.26709,0.36631,-0.58433
payload_contact_shift,minus_online_residual_update,1,168,0.13095,0.68485,0.28763,0.18892,0.86972,0.19176,0.19505,0.17015,0.86650,0.09101,0.28982,0.32925,-0.45739
payload_contact_shift,minus_online_residual_update,2,168,0.13095,0.71228,0.30782,0.18129,0.88830,0.19944,0.14581,0.14272,0.90370,0.08837,0.26704,0.33767,-0.47966
payload_contact_shift,minus_online_residual_update,3,168,0.16667,0.68295,0.29677,0.18223,0.86343,0.19123,0.19276,0.17205,0.86246,0.08896,0.29465,0.33511,-0.42487
payload_contact_shift,minus_online_residual_update,4,168,0.10119,0.71919,0.31356,0.17805,0.90357,0.20137,0.15301,0.13581,0.91241,0.08909,0.26913,0.34243,-0.51663
payload_contact_shift,minus_online_residual_update,5,168,0.04762,0.69777,0.30421,0.18578,0.89835,0.19538,0.14987,0.15723,0.90327,0.08806,0.26528,0.33426,-0.55703
payload_contact_shift,minus_online_residual_update,6,168,0.07738,0.71250,0.28741,0.19598,0.92473,0.19950,0.12016,0.14250,0.91879,0.08386,0.27048,0.32526,-0.52792
payload_contact_shift,minus_online_residual_update,7,168,0.10119,0.68024,0.28571,0.19109,0.86112,0.19047,0.18346,0.17476,0.87585,0.08994,0.28724,0.32733,-0.48441
payload_contact_shift,minus_online_residual_update,8,168,0.08333,0.68405,0.28061,0.18464,0.87083,0.19153,0.16557,0.17095,0.88010,0.09129,0.29397,0.32559,-0.50121
payload_contact_shift,minus_online_residual_update,9,168,0.14881,0.67497,0.27445,0.18736,0.90491,0.18899,0.19780,0.18003,0.86841,0.08944,0.27817,0.31870,-0.43009
payload_contact_shift,minus_persistent_latent_memory,0,168,0.10714,0.72729,0.33567,0.20149,0.92570,0.20364,0.12490,0.12771,0.91156,0.08459,0.26233,0.35327,-0.53135
payload_contact_shift,minus_persistent_latent_memory,1,168,0.11310,0.71143,0.32143,0.18728,0.90273,0.19920,0.17262,0.14357,0.89137,0.08886,0.26087,0.34563,-0.50598
payload_contact_shift,minus_persistent_latent_memory,2,168,0.13095,0.70695,0.32037,0.17733,0.90058,0.19795,0.17918,0.14805,0.89307,0.08758,0.25096,0.34181,-0.48344
payload_contact_shift,minus_persistent_latent_memory,3,168,0.09524,0.70820,0.30421,0.17725,0.87582,0.19830,0.15189,0.14680,0.88797,0.08744,0.26235,0.33517,-0.50885
payload_contact_shift,minus_persistent_latent_memory,4,168,0.10119,0.69710,0.28635,0.17795,0.90840,0.19519,0.16410,0.15790,0.90540,0.08724,0.25979,0.32411,-0.49210
payload_contact_shift,minus_persistent_latent_memory,5,168,0.13690,0.69228,0.30038,0.18263,0.88690,0.19384,0.16503,0.16272,0.89881,0.08856,0.25902,0.33126,-0.46136
payload_contact_shift,minus_persistent_latent_memory,6,168,0.11905,0.69783,0.28741,0.19394,0.90825,0.19539,0.15809,0.15717,0.87925,0.08785,0.26121,0.32393,-0.47622
payload_contact_shift,minus_persistent_latent_memory,7,168,0.13690,0.65687,0.26233,0.18941,0.84575,0.18392,0.19075,0.19813,0.85863,0.09117,0.27736,0.31102,-0.42339
payload_contact_shift,minus_persistent_latent_memory,8,168,0.08929,0.67342,0.25808,0.17794,0.87739,0.18856,0.15587,0.18158,0.88223,0.09001,0.26493,0.30697,-0.47562
