split,ablation,metric,mean,ci95,seeds,rows_per_seed
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,task_success,0.11726,0.01243,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,tracking_error,0.72916,0.01115,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,safety_violation,0.34713,0.01888,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,asymmetry_error,0.34296,0.01249,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,actuator_energy,1.09790,0.00830,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,adaptation_regret,0.20416,0.00312,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,calibration_error,0.15312,0.00936,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,constraint_margin,0.12584,0.01115,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,recovery_time,0.88810,0.01030,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,control_smoothness,0.11362,0.00187,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,state_uncertainty,0.11926,0.00120,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,risk_score,0.33799,0.01150,10,168
combined_hard_shift,full_latent_asymmetry_belief_policy_v5,robust_utility,-0.55210,0.02191,10,168
combined_hard_shift,minus_deadzone_saturation_state,task_success,0.08214,0.01215,10,168
combined_hard_shift,minus_deadzone_saturation_state,tracking_error,0.75202,0.01023,10,168
combined_hard_shift,minus_deadzone_saturation_state,safety_violation,0.37015,0.01450,10,168
combined_hard_shift,minus_deadzone_saturation_state,asymmetry_error,0.35813,0.01172,10,168
combined_hard_shift,minus_deadzone_saturation_state,actuator_energy,0.98931,0.01202,10,168
combined_hard_shift,minus_deadzone_saturation_state,adaptation_regret,0.21057,0.00286,10,168
combined_hard_shift,minus_deadzone_saturation_state,calibration_error,0.12365,0.00949,10,168
combined_hard_shift,minus_deadzone_saturation_state,constraint_margin,0.10298,0.01023,10,168
combined_hard_shift,minus_deadzone_saturation_state,recovery_time,0.90470,0.01092,10,168
combined_hard_shift,minus_deadzone_saturation_state,control_smoothness,0.10539,0.00157,10,168
combined_hard_shift,minus_deadzone_saturation_state,state_uncertainty,0.12325,0.00315,10,168
combined_hard_shift,minus_deadzone_saturation_state,risk_score,0.35349,0.00857,10,168
combined_hard_shift,minus_deadzone_saturation_state,robust_utility,-0.60386,0.02211,10,168
combined_hard_shift,minus_latency_compensation,task_success,0.09821,0.01233,10,168
combined_hard_shift,minus_latency_compensation,tracking_error,0.73777,0.00655,10,168
combined_hard_shift,minus_latency_compensation,safety_violation,0.35536,0.01130,10,168
combined_hard_shift,minus_latency_compensation,asymmetry_error,0.35351,0.01395,10,168
combined_hard_shift,minus_latency_compensation,actuator_energy,1.08398,0.00794,10,168
combined_hard_shift,minus_latency_compensation,adaptation_regret,0.20658,0.00183,10,168
combined_hard_shift,minus_latency_compensation,calibration_error,0.13606,0.01137,10,168
combined_hard_shift,minus_latency_compensation,constraint_margin,0.11723,0.00655,10,168
combined_hard_shift,minus_latency_compensation,recovery_time,0.88867,0.00949,10,168
combined_hard_shift,minus_latency_compensation,control_smoothness,0.11244,0.00143,10,168
combined_hard_shift,minus_latency_compensation,state_uncertainty,0.12139,0.00229,10,168
combined_hard_shift,minus_latency_compensation,risk_score,0.34386,0.00703,10,168
combined_hard_shift,minus_latency_compensation,robust_utility,-0.57980,0.01469,10,168
combined_hard_shift,minus_online_residual_update,task_success,0.08155,0.01290,10,168
combined_hard_shift,minus_online_residual_update,tracking_error,0.73877,0.00626,10,168
combined_hard_shift,minus_online_residual_update,safety_violation,0.35961,0.01223,10,168
combined_hard_shift,minus_online_residual_update,asymmetry_error,0.29159,0.00421,10,168
combined_hard_shift,minus_online_residual_update,actuator_energy,1.01141,0.00811,10,168
combined_hard_shift,minus_online_residual_update,adaptation_regret,0.20686,0.00175,10,168
combined_hard_shift,minus_online_residual_update,calibration_error,0.12588,0.00336,10,168
combined_hard_shift,minus_online_residual_update,constraint_margin,0.11623,0.00626,10,168
