stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6807,0.0123
0.0,conformal_risk_filter,0.7079,0.0068
0.0,proposed_branch_mechanism,0.7521,0.0105
0.0,oracle_branch_upper_bound,0.8098,0.0117
0.2,scalar_uncertainty_planner,0.6326,0.0137
0.2,conformal_risk_filter,0.6679,0.0075
0.2,proposed_branch_mechanism,0.7226,0.0136
0.2,oracle_branch_upper_bound,0.7888,0.0114
0.4,scalar_uncertainty_planner,0.5764,0.0132
0.4,conformal_risk_filter,0.6195,0.0081
0.4,proposed_branch_mechanism,0.6907,0.0164
0.4,oracle_branch_upper_bound,0.7688,0.0111
0.6,scalar_uncertainty_planner,0.5169,0.0131
0.6,conformal_risk_filter,0.5743,0.0105
0.6,proposed_branch_mechanism,0.6598,0.0189
0.6,oracle_branch_upper_bound,0.7481,0.0111
0.8,scalar_uncertainty_planner,0.4564,0.0148
0.8,conformal_risk_filter,0.5333,0.0078
0.8,proposed_branch_mechanism,0.6314,0.0191
0.8,oracle_branch_upper_bound,0.7288,0.0112
1.0,scalar_uncertainty_planner,0.4031,0.0141
1.0,conformal_risk_filter,0.4902,0.0100
1.0,proposed_branch_mechanism,0.6014,0.0168
1.0,oracle_branch_upper_bound,0.7081,0.0156
